time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,251110826,0.0,17043.13,4960.715666666667,3811.187876859648
0.0,284240115,0.0,55004.98,6479.368548585493,9548.852161186798
0.0,49298618,2670.72,38044.47,19453.51454545454,10034.511924066637
0.0,632243486,0.0,4157.41,3057.5716666666667,1580.2175953762403
0.0,844618195,6117.25,22743.24,9274.658181818184,4647.916876468034
0.0,711888497,0.0,55908.08,14047.958263229295,13409.491230744425
0.0,355613814,0.0,0.0,0.0,
0.0,7232153327,3991.19,29489.85,12566.0975,11483.635819638817
0.0,251144200,32264.16,32264.16,32264.16,
0.0,97846094,1271.03,1271.03,1271.03,
1.0,393398563,0.0,39775.4,5698.508338368578,7846.772626568583
1.0,223601506,0.0,31938.24,6784.465263157895,6963.700709836083
1.0,251137651,0.0,31211.68,11096.239736842104,7974.240929020949
1.0,251133910,0.0,3316.78,1713.3515789473684,1256.1762846355214
1.0,52176363,0.0,18355.06,3146.4107692307693,5711.822377670518
1.0,952120232,0.0,38707.71,15531.4125,10954.362710777968
1.0,400607897,0.0,11217.4,3988.8655913978496,3202.9820307048863
1.0,9487245293,0.0,48308.49,15315.766363636363,17015.797638070497
1.0,251136460,0.0,24348.64,5569.999166666667,8293.332987414387
1.0,101404641,0.0,34249.34,12712.134782608695,12095.486957802172
1.0,24220216,0.0,51243.08,3326.844634615373,4279.392996619617
1.0,97834703,1754.97,16991.59,4823.935,5066.023586059809
1.0,224025735,0.0,43032.08,15753.1,18513.581623716633
0.0,764391082,0.0,24462.19,4152.835,6920.115561015239
0.0,224026880,0.0,42822.35,17036.747222222224,15060.478121850152
0.0,2561873107,0.0,11807.31,3974.4585714285713,4674.934591355008
0.0,916498505,0.0,27649.2,6654.882413793104,8128.472330765856
0.0,221139568,2624.72,2624.72,2624.72,0.0
0.0,622917481,0.0,30991.81,9122.2575,14808.211542015857
0.0,97846101,0.0,39852.02,17263.24243902439,12931.710697291328
0.0,250711117,0.0,5552.19,2095.495,2662.7134067901484
0.0,70794277,0.0,9117.05,3812.436,4171.883179778115
0.0,251144064,0.0,0.0,0.0,
1.0,717328985,0.0,28610.2,5579.220035335686,5943.0647727046335
1.0,734712546,0.0,31597.91,4113.725480769223,4634.59085158412
1.0,6693647596,0.0,34278.53,6935.09987654321,6375.497009899706
1.0,355614703,0.0,35079.79,3947.468965517241,7075.638812011628
1.0,250709640,0.0,8801.32,6240.166,3539.590028234908
1.0,250708524,0.0,23545.65,3715.0885000000003,6691.358672000049
1.0,23199951,0.0,11730.17,3833.7989705882355,3351.3216034315897
1.0,251133630,0.0,26048.89,3458.388723404256,5558.32797364014
1.0,635132991,0.0,15697.77,7623.267999999999,6713.737383775647
1.0,210103159,0.0,2624.72,2429.1300000000006,676.6341720261928
1.0,722762256,0.0,23578.74,5861.976779661017,6303.084682076087
1.0,962356671,7132.47,27337.61,14340.404,9118.807261409247
1.0,251136993,4454.8,4538.79,4496.795,59.389898551857975
0.0,299644700,0.0,49944.03,9827.505442622953,11101.996492633658
0.0,601290889,0.0,45254.06,5044.713913398644,6644.247425321604
0.0,632242187,2076.07,9752.46,7248.695999999999,3005.5985840477774
0.0,250691384,0.0,37819.1,10932.138333333334,14791.419179500548
0.0,598660848,0.0,4408.51,1680.5020588235295,1462.5970481362408
0.0,97846083,0.0,53783.57,25583.007999999994,21210.35424224982
0.0,651939695,0.0,11040.4,2042.34125,3836.249098550143
0.0,250921223,0.0,7263.13,3738.2371428571428,2933.972653926835
0.0,97839360,0.0,17159.91,6762.110000000001,9139.437025008707
0.0,250920509,10551.05,13799.94,12175.494999999999,2297.312150329163
0.0,251110531,0.0,16778.09,4044.754,7272.840574835942
0.0,818127954,0.0,0.0,0.0,0.0
0.0,8812084976,0.0,0.0,0.0,
1.0,10976435,0.0,50996.86,3803.7689542007515,4154.108417597857
1.0,601290886,0.0,27420.35,4117.185541795666,5047.519282648643
1.0,250691741,0.0,39610.52,7065.063534482759,7259.807754329881
1.0,8484924459,0.0,18242.76,4736.902777777777,4048.642799165891
1.0,98303811,0.0,38634.55,11640.529999999999,11831.9140781509
1.0,86547345,0.0,32542.38,6581.104583333332,8769.064364719223
1.0,360079251,0.0,36112.68,2904.542066666661,4762.247039692164
1.0,599116897,0.0,47151.63,5850.371649484537,10074.416092265254
1.0,8330742371,0.0,31659.41,4819.62,9302.067881903004
1.0,250710205,0.0,18069.5,4839.383030303031,3991.4942237999076
1.0,23200007,0.0,13723.47,4024.274,5609.672990229962
1.0,250691566,0.0,17559.31,5632.05,7149.859769836049
1.0,251136601,2471.34,39449.53,11976.405000000002,10434.536932083507
1.0,97789191,0.0,49475.9,24737.95,34984.744395307505
1.0,33878526,0.0,41825.34,14754.423043478262,13120.278759141236
1.0,359094927,0.0,9418.94,4190.828181818182,3417.958467965397
1.0,6415203291,7366.82,32769.51,15848.765,11472.600668614768
1.0,251136544,0.0,7802.67,4637.71,4104.529108692007
0.0,251144197,0.0,37245.01,14131.054285714286,13837.713065569347
0.0,10741758,0.0,34415.82,11780.086666666666,9182.447029042369
0.0,881725969,0.0,7436.59,1914.672340425532,2030.2198350914528
0.0,2966514653,9068.42,11323.17,10195.795,1594.349014880368
0.0,355613602,0.0,7493.17,2533.82,3564.9904996998234
0.0,68612576,0.0,19036.26,3602.2446341463406,4166.899591137334
0.0,388172082,0.0,10476.73,2391.3840000000005,3349.3475740083404
0.0,790318524,0.0,30166.53,9231.05462686567,8193.765326080356
0.0,250710162,0.0,17984.2,2871.3344444444447,6234.73710561863
0.0,250921080,0.0,19880.28,3754.2566666666667,7970.649592482828
0.0,2300286948,3591.71,10768.73,6902.615,3494.2769530619635
1.0,601290889,0.0,48367.87,2838.5760030272404,1922.7812539306567
1.0,298383050,0.0,54139.33,13300.666482939636,11140.192413524474
1.0,419194293,0.0,11802.88,5047.499360465105,1287.1066706309273
1.0,250700084,0.0,67227.95,6205.523577235774,8178.8897349778745
1.0,97788213,0.0,27764.25,10994.472,7493.897789534865
1.0,892605848,0.0,18687.17,6336.301764705882,7208.929007833129
1.0,54700033,0.0,16902.6,9518.155909090909,3979.2704713057988
1.0,1062776770,6594.13,6594.13,6594.13,
0.0,97834824,1630.23,31396.09,10092.89625,12796.535326769326
0.0,31767642,0.0,38756.36,6575.0203125,8879.519827459451
0.0,677284299,0.0,23483.64,5975.672837837837,5893.423332886849
0.0,650854063,0.0,4112.5,293.75,1099.1118573648455
0.0,762793106,0.0,57001.37,5920.209112709835,9261.467431485482
0.0,2318403662,0.0,23588.59,4680.286363636362,4430.906059602407
0.0,97839384,0.0,26067.2,9191.69875,10205.538712782301
0.0,250708783,0.0,24634.64,6174.098730158727,4712.335207800458
0.0,651211705,0.0,7047.19,1936.4360344827587,1701.3009252250813
0.0,364104825,0.0,18730.23,7867.3785714285705,6718.612626935287
0.0,359096274,0.0,33627.95,17923.383333333335,16109.880661439633
0.0,62326679,0.0,3030.92,1355.0246666666667,1298.0900054861327
1.0,10976951,0.0,11001.19,1557.6221444695257,1776.4012897526784
1.0,294492610,0.0,12228.0,1995.142818791944,2095.9472264136784
1.0,32245113,0.0,49320.66,5740.79115151515,8619.293466614421
1.0,702079448,0.0,38608.0,6546.950117187501,8932.35831632015
1.0,363357735,0.0,38285.39,2994.178712121212,6079.373083515406
1.0,651948533,0.0,25382.94,9397.242033898305,6546.4756798318795
1.0,300401270,0.0,4782.53,2412.353333333333,2391.5439476692313
1.0,767331322,0.0,24994.23,7597.625,9300.541274574947
1.0,250710950,0.0,16888.46,6577.749999999999,5742.636823862055
1.0,91502437,0.0,7351.24,2409.1038461538465,2753.1801402182728
1.0,359095451,0.0,47827.11,5798.462820512821,5896.8220811316505
1.0,51249283,0.0,37435.73,22924.721111111114,13220.848525643545
1.0,353767594,0.0,35648.93,11900.202000000001,13017.560276844675
1.0,8212395770,0.0,0.0,0.0,0.0
1.0,7041322346,0.0,16513.12,6855.094999999999,8239.78444309275
0.0,43386416,0.0,23176.09,6369.7702222222215,5126.002795543117
0.0,42240105,0.0,39298.51,6423.105157894738,6566.6869062553005
0.0,7384248376,0.0,20856.66,6511.945396039604,4624.245859591739
0.0,909651169,0.0,73067.94,15219.736318181813,13766.382590771553
0.0,250692401,0.0,67350.63,6506.874881889764,11151.587608051055
0.0,355613014,0.0,7728.21,2576.546923076923,2567.5570079921777
0.0,734712546,0.0,27673.25,3179.0988499999885,2336.3614160232974
0.0,179007040,0.0,15347.17,4868.113,5071.7425825231785
0.0,250920242,0.0,34170.99,10565.852142857142,8041.199301715203
0.0,251136994,2148.71,50474.69,22617.124,20889.489825180746
0.0,359093566,0.0,9903.48,2924.48,3040.3231188915875
0.0,651968875,0.0,19915.77,3983.154,8906.603108850197
0.0,661080035,0.0,6459.39,1986.2245555555558,1559.676481721872
0.0,250663831,4757.84,30133.73,22378.08,11865.20947974371
0.0,359093543,0.0,23791.64,6565.365833333333,7060.862570769895
0.0,250664458,0.0,6570.34,2244.727142857143,2459.338657937091
0.0,824855256,1896.93,1896.93,1896.93,
0.0,250710205,2967.99,17934.57,10934.747777777779,5080.76636948607
0.0,622917483,0.0,20802.34,6791.0625,9519.13572330449
0.0,23217602,0.0,31439.14,14086.140937499998,11082.644696383026
1.0,52493741,0.0,60108.83,10745.37168996188,14013.841890160642
1.0,250712162,0.0,20776.43,5036.710303030303,4092.1263597711986
1.0,653973297,0.0,26236.99,5508.2266666666665,7286.708765731161
1.0,791288815,0.0,57701.77,7782.100877192983,15482.204554950833
1.0,156253936,0.0,12374.58,3402.665853658538,3120.9770648948825
1.0,23183922,0.0,9369.66,4758.4275,3620.867198285713
1.0,824855290,0.0,0.0,0.0,
1.0,223649878,0.0,32861.68,7099.3251515151505,8655.066570283603
1.0,292906733,0.0,8681.51,4266.397272727273,2920.8829507396936
1.0,2299482267,0.0,0.0,0.0,0.0
0.0,280005152,0.0,28772.64,7044.574554455447,7389.672380410585
0.0,653972809,0.0,22624.59,6670.768888888889,5747.2023288094715
0.0,661080463,0.0,23909.85,2268.687098214284,2623.101950154495
0.0,6217316409,0.0,38764.73,7805.0651,10579.084981780148
0.0,2251695465,0.0,14161.44,3243.570833333333,4856.786677385215
0.0,254731664,0.0,9531.79,3858.253636363636,2797.332454819315
0.0,5630810693,1864.14,6987.12,3503.2925000000005,2389.4419525539847
0.0,31616993,0.0,36086.11,6750.407249999999,9476.05900924359
0.0,355614383,0.0,0.0,0.0,0.0
0.0,824076878,0.0,43274.8,6919.317692307693,14517.803562943647
0.0,281538399,0.0,17374.86,3725.233030303031,4629.4440142232625
0.0,51249829,0.0,13591.23,7184.7269230769225,4353.579547503381
0.0,23184181,0.0,16257.36,4856.151785714285,5302.043300686628
1.0,167907746,0.0,24070.08,3037.7345149253692,3161.026986052173
1.0,4458927012,0.0,28047.66,6533.732884615385,7400.592378880654
1.0,881725981,0.0,12681.53,8770.768750000001,4068.8380981322543
1.0,388172051,0.0,21563.63,7140.355333333332,6231.418307293616
1.0,250691272,0.0,35797.52,3856.096060606061,7796.419001452261
1.0,52493494,0.0,12893.43,2677.4817073170734,3138.999684069301
1.0,251144202,0.0,1920.45,213.38333333333333,640.1500000000001
0.0,52080446,0.0,61969.79,10295.601782608694,12506.06342622883
0.0,2251695463,7294.96,32252.91,15285.681538461542,9367.642793461833
0.0,300401174,0.0,51121.76,11028.031547619048,10018.183052351986
0.0,6693647589,0.0,39918.43,8187.651506849315,11010.729898273306
0.0,651939721,0.0,0.0,0.0,
0.0,97846073,0.0,35782.78,9454.200530303027,8200.4933609569
0.0,7206257345,0.0,3468.72,860.92625,1594.1817287959316
0.0,300400470,0.0,33204.51,6992.11657142857,6314.15234397579
0.0,824855111,0.0,7074.12,2598.5977272727278,2505.531396976986
0.0,11270494938,0.0,2677.82,1668.4399999999998,1455.4896257960756
0.0,33878525,0.0,55265.65,8950.884130434784,12492.387168476562
0.0,58704893,0.0,2296.43,866.9069767441861,821.2027674394225
1.0,10971766,0.0,49029.1,3324.792417554275,2566.16429677819
1.0,8446047162,0.0,35216.48,6828.708009259258,5625.914531321477
1.0,6217316409,0.0,38816.69,6335.670633484162,8174.602211172364
1.0,250708523,0.0,27227.26,9157.233793103445,8385.238950556171
1.0,355614382,4300.35,6552.63,5256.849999999999,1163.8404050384227
1.0,97788848,0.0,31021.53,8040.934137931035,7415.036620018676
1.0,251136893,0.0,48868.25,10874.574999999999,13441.659842889787
1.0,95663389,0.0,18907.3,10513.317777777778,7346.271087811791
