time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,250713287,5113.17,9927.67,7520.42,3404.365598022633
0.0,250714051,2043.88,53946.05,7472.441666666665,7739.875339801472
0.0,44463540,0.0,27316.01,8849.411250000001,7854.936855707959
0.0,66868059,0.0,10621.75,3171.2509859154916,3187.5806849916553
0.0,966013902,0.0,24877.25,6068.668333333333,7338.554059344194
0.0,61093639,0.0,27063.13,4180.645186915882,5082.0615634485775
0.0,23182767,0.0,59502.44,8876.120090090091,10607.434428972965
0.0,49864483,0.0,10516.41,4740.869999999999,3145.534368658293
0.0,525503454,0.0,2229.75,1045.4799999999998,1147.9179089638772
0.0,68612565,0.0,4124.01,1118.1,1631.2259784854198
0.0,52493437,0.0,31253.38,9739.292187499994,10124.03043852587
0.0,617806824,0.0,0.0,0.0,
1.0,717120664,0.0,39284.55,7664.7188153310135,9478.118306005785
1.0,52493354,0.0,35071.4,3145.5295200892797,4387.970932586829
1.0,909208929,0.0,11880.52,1735.0816578947374,1789.564922517232
1.0,251144773,0.0,19940.52,5523.892500000001,5954.2070547274325
1.0,251137589,0.0,21215.95,6976.737222222222,4800.867820653464
1.0,33878323,0.0,18739.36,3726.262678571428,4751.0501795648925
1.0,824855242,0.0,7722.5,1574.72,2262.89129848696
1.0,803870833,0.0,24851.3,6168.540555555556,8200.282804123623
1.0,998311565,0.0,13975.28,3488.8593333333333,3687.6628747980485
0.0,250692063,0.0,47307.26,14477.35431372549,10942.175588337677
0.0,68612589,0.0,10482.74,4694.043750000001,4024.5872648080767
0.0,8446047162,0.0,34663.48,6930.752808988765,5801.263999907026
0.0,359095614,0.0,24452.88,4165.562222222223,8011.44839240817
0.0,8484977584,0.0,21692.74,4400.454999999999,5540.9839673408105
0.0,734382122,2021.45,44005.97,15094.401538461543,10129.6312705335
0.0,790308477,0.0,38513.6,5258.210956521739,8852.124896863768
0.0,384593008,0.0,18957.97,6393.99375,6012.346302265834
0.0,62330706,0.0,8304.6,2971.487,2549.025670304244
0.0,95663501,12741.94,24603.7,18672.82,8387.530932807342
0.0,234000634,7260.56,16713.29,10587.732222222221,3682.2078910341893
0.0,242134,0.0,3098.73,1680.3854545454544,1344.9686659574165
1.0,23216679,0.0,37710.08,4051.351563785999,5145.697433753259
1.0,250710162,0.0,3859.24,877.97875,1636.2670827259526
1.0,8253823131,0.0,7198.78,4068.786666666667,3690.0688427363157
1.0,250663757,0.0,30718.12,3385.8107692307685,8404.767112222149
1.0,250920978,0.0,43695.56,9347.961587301588,9888.643972638873
1.0,601293993,0.0,4420.73,1502.6699999999998,1618.508397988716
1.0,633562897,0.0,6627.54,3079.8575,3576.7680636050472
0.0,655213200,0.0,26105.77,11305.45,7862.333870266513
0.0,651185404,0.0,23636.74,4630.603800000001,5403.226697072283
0.0,10972563,0.0,21955.75,4613.869148936171,5752.283365754715
0.0,300402610,2360.47,24176.98,7420.138666666668,5351.53618478827
0.0,219615781,0.0,11270.68,4707.461818181819,3380.1732334033363
0.0,584037841,0.0,2616.24,1261.3099999999997,1382.6475562774485
1.0,23184216,0.0,36871.97,6157.51074074074,8416.760187656038
1.0,32015189,0.0,35804.74,6802.92526162791,7632.668351837871
1.0,101357275,0.0,9665.21,2377.0257333333334,2389.523896409185
1.0,95663492,0.0,26142.03,5119.38659090909,5614.229753666412
1.0,44463538,0.0,37069.78,4176.634285714286,8454.600639980981
1.0,359094862,0.0,59198.92,11840.503125000001,14306.535259453854
1.0,1016179784,0.0,38507.09,5401.4762686567165,8752.327976605895
1.0,355613012,0.0,18714.07,3555.0080000000003,5950.506945962765
1.0,1118771576,0.0,46145.99,14365.73,18683.83797274532
1.0,7127124359,2646.89,2646.89,2646.89,
1.0,650854054,0.0,0.0,0.0,0.0
1.0,11270494938,0.0,3082.43,1376.79,1612.2952026433206
0.0,32015501,0.0,22108.42,4454.2844444444445,7626.517744885459
0.0,250713286,0.0,10234.28,4713.476,3911.8369781705146
0.0,767331322,0.0,27248.83,6677.613076923077,9121.55489686324
0.0,31767638,0.0,16228.74,4552.298059701495,3852.4484494406543
0.0,251144774,0.0,46852.56,19718.789523809526,13681.684023797097
0.0,23183369,0.0,37852.97,6637.030678685039,7442.538328128865
0.0,483384217,0.0,6852.1,2699.9814285714283,2875.136824659704
0.0,355613297,0.0,8163.04,2040.76,4081.52
0.0,353767906,2415.76,2829.83,2622.795,292.79170488591353
1.0,2511789008,0.0,20640.99,4951.900967741934,3350.7714453190265
1.0,250692063,0.0,47917.58,11640.367666666665,10985.373863039978
1.0,824855120,0.0,19526.01,3302.192610619464,3272.307936513012
1.0,250920416,5662.78,34763.75,16251.643999999997,10923.136183264403
1.0,97788769,0.0,35449.85,4384.527250000001,8587.478060914456
1.0,807999996,0.0,23431.95,5956.343999999999,6653.905216636554
1.0,251136124,0.0,10970.51,2278.8480000000004,2519.0324152020194
1.0,1303525246,17622.65,26638.56,22130.605000000003,6375.211099567606
1.0,901261053,0.0,11534.89,5492.725,3630.14178796135
0.0,250712162,2885.64,32932.21,11918.276249999999,11637.902685218964
0.0,250706436,0.0,4904.39,1687.5991666666669,1717.2398941242805
0.0,23184195,0.0,41635.69,3778.485843373495,8257.492673827383
0.0,299500104,0.0,42091.48,5627.1566917293285,7438.861557804548
0.0,250712716,0.0,28002.56,6333.8234375,5516.346247274847
0.0,909645108,0.0,48718.24,10431.127192982456,12227.76576495211
0.0,704135432,0.0,22726.29,6311.629199999999,7628.461364806755
0.0,359095693,0.0,6619.29,2766.8575,2406.636385766072
1.0,250920320,0.0,39238.71,4113.489365558931,2828.5017097305767
1.0,222942436,0.0,36802.45,5026.922949389181,6559.686848903151
1.0,250663596,0.0,32682.49,4431.875703125,6259.773942949869
1.0,327261700,0.0,14586.52,2468.3940071556262,1672.0903911128773
1.0,250921080,0.0,30086.12,9271.716666666665,11343.966463576427
1.0,651968870,0.0,25476.93,12264.060000000001,11342.002377024673
1.0,101516440,0.0,15675.96,4868.326666666666,3978.665383436176
1.0,363391934,0.0,27241.3,2530.6513333333332,7372.298935239039
1.0,355615343,0.0,0.0,0.0,
0.0,327261700,0.0,15435.4,3158.743636363632,2774.7328421452357
0.0,818127958,0.0,13661.9,2732.38,6109.787420360875
0.0,249601206,0.0,38191.12,6160.317142857134,7164.815261678317
0.0,23216663,0.0,32897.76,12946.764411764707,10829.794643064972
0.0,222897513,0.0,47982.27,3694.5071577181407,4047.384336342728
0.0,917870261,0.0,21807.26,2727.1252222222215,2975.910138593701
0.0,250711115,20364.94,24612.78,22488.86,3003.676469395464
0.0,601290886,0.0,7749.27,2304.7835416666667,1795.5433539463784
0.0,295024096,0.0,16208.49,2724.6592553191495,3175.428676290671
0.0,1303525246,6095.62,6095.62,6095.62,
0.0,482856909,0.0,3587.62,2457.0649999999996,1672.8952141223112
1.0,972690968,0.0,36502.38,11714.174610778444,8164.364269106122
1.0,353767804,0.0,59124.71,12156.866590909089,17437.939189657696
1.0,250663746,0.0,44790.05,10279.063636363637,13846.168501676711
1.0,250700248,0.0,21077.78,5331.67789473684,3276.274099288669
1.0,31767637,0.0,38820.5,6984.652429378529,8589.61017900248
1.0,807999627,0.0,3732.51,1818.5717948717954,1336.0469799391742
1.0,97846089,0.0,22251.01,6803.857142857143,8029.278613285077
1.0,353769800,0.0,0.0,0.0,0.0
1.0,86547349,0.0,19758.12,11526.360588235293,6027.34826523185
1.0,353771656,0.0,8766.61,2404.75,2927.3723601619254
1.0,678788074,0.0,5286.33,2615.8494444444445,2196.595301288075
1.0,651939717,3126.29,3126.29,3126.29,
0.0,251144770,0.0,65496.4,5107.098857142854,11109.308457078703
0.0,23182775,1728.82,8621.13,4604.78,2380.881641521336
0.0,299658207,0.0,39386.44,2950.2034200743437,4870.661573533335
0.0,250704638,0.0,19312.37,5971.834583333333,4268.442443962065
0.0,31767621,0.0,42581.13,13969.17637681159,10777.302956038318
0.0,251110754,0.0,8500.7,5408.715714285715,3291.3632686363526
0.0,3879024943,3812.95,21674.84,9571.3875,8343.289837573566
0.0,219617986,0.0,9302.95,1970.89,3041.1034932142643
1.0,741245823,0.0,58055.08,11438.450484061399,11470.28629228929
1.0,359094908,0.0,37654.61,7211.695833333334,8960.546796000464
1.0,651185403,0.0,4513.58,1628.0014155251138,1368.8470039675447
1.0,264095736,0.0,33588.35,4447.556060606059,6138.494619870286
1.0,653974966,0.0,20867.43,8581.342499999999,6925.397307572292
1.0,2660166908,0.0,16071.04,2580.7888461538464,3628.4671165287714
1.0,762793106,0.0,51217.3,6111.27636752137,9714.089126763329
1.0,444374147,0.0,40494.6,6226.916828193831,8125.1138172691135
1.0,51249544,0.0,37747.66,6476.670617977527,7460.64973504214
1.0,23216541,0.0,8612.39,2572.381647727272,2411.617825582324
1.0,377996994,0.0,35389.75,7074.518301886793,10202.549623511484
1.0,10976008,0.0,4361.91,1679.9191666666666,1914.2142460002096
1.0,601294006,6750.06,23472.62,15683.69,8419.843039267418
1.0,966013902,0.0,4363.05,1657.9485714285713,1758.178489321507
0.0,1992372760,0.0,22202.7,9569.512941176472,6740.245702607736
0.0,250712701,0.0,5640.99,2820.495,3988.7822816055027
0.0,359095613,0.0,25582.59,7555.680833333335,7739.5022425000225
0.0,917870258,0.0,17520.63,1815.4853125,3495.290152460038
0.0,31620199,0.0,11467.91,2001.6657854406126,2251.6886917287416
0.0,300401862,0.0,31638.27,6543.02076923077,8174.088843659051
0.0,391433166,0.0,44070.56,13339.162444444446,12359.587055572421
0.0,251110759,5945.4,5945.4,5945.4,
0.0,652688299,0.0,67888.48,13457.500555555554,18242.35828787253
0.0,632242186,6870.07,6870.07,6870.07,
1.0,97846073,0.0,42098.36,8363.3365560166,7627.709039801214
1.0,250709317,0.0,56209.23,4408.520833333334,10306.07446293168
1.0,315709444,0.0,22050.17,2625.598375451262,3441.2588903664264
1.0,4458922832,0.0,49603.95,5740.687600000001,9796.495087268606
1.0,336341771,0.0,25722.48,7817.849210526317,6916.834114448752
1.0,790308478,0.0,33457.6,10651.234,13202.457753372288
1.0,388172083,1640.98,6749.82,4622.37,2659.317897337586
0.0,101259304,0.0,33738.82,5320.096750000001,7945.325992565768
0.0,741087756,0.0,59616.1,11975.028482142856,12964.858326279318
0.0,652688301,0.0,46211.52,16021.47,12165.158954545906
0.0,250699359,0.0,30069.76,5576.130833333331,7086.754544752244
0.0,251136510,0.0,12931.74,6807.681,4545.766562838439
0.0,167920360,0.0,40185.78,9174.904887218046,10738.26349402267
0.0,286067598,0.0,63273.8,11521.439267631104,14838.192109378475
0.0,11031665,0.0,5885.72,1872.4871428571428,1934.5815168956533
0.0,32015537,0.0,12604.06,3769.855581395349,3376.846964915435
0.0,23183366,0.0,27437.66,3618.7866990291213,4194.4910104435185
0.0,90533474,0.0,38682.58,9101.124285714284,10597.309326432469
0.0,359096263,0.0,4459.01,743.1683333333334,1820.38320966127
0.0,66867998,0.0,8306.2,3703.9200000000005,3080.3620895440204
1.0,97846101,0.0,45002.46,14297.294374999998,11969.08446973632
1.0,220516702,0.0,7876.37,2861.0418421052627,2729.0860351930473
1.0,361401015,0.0,31483.47,9675.817142857144,7877.30603333372
1.0,355614093,0.0,10121.94,2024.3880000000001,4526.669180834844
1.0,250663734,0.0,27383.36,6910.038640776699,5875.046096094514
1.0,41806639,2712.98,24128.19,14294.138181818182,8271.69291960457
1.0,68612576,0.0,29476.83,4283.194396551724,6050.709202868887
1.0,51102924,0.0,38909.91,6738.648034188035,9012.345668419597
1.0,3894328960,0.0,7519.55,3155.067142857143,2485.458034804817
1.0,250704638,0.0,59988.78,7598.190344827587,8905.884470652558
1.0,295081889,0.0,17664.26,9184.269375,4189.046679509899
1.0,907181175,0.0,8811.15,2354.164533333333,2497.3195881586307
1.0,634244587,0.0,5662.31,1922.8584210526315,1665.8237461463764
1.0,50005006,0.0,9417.22,4388.746363636363,3081.271515768361
0.0,251144999,0.0,5328.52,2120.1600000000003,2253.7892305737023
0.0,482987489,0.0,49457.87,4661.216878474974,4914.800653186716
0.0,49748053,0.0,2287.34,816.1194736842106,1099.5197116593615
0.0,286070640,0.0,21270.96,5871.038157894735,4928.820997230998
0.0,359094241,0.0,50177.03,11345.90105263158,10720.426514802923
0.0,353767087,0.0,0.0,0.0,
0.0,664511607,0.0,10849.89,3460.1949999999997,3646.1491046112114
0.0,916426355,0.0,3277.24,1540.7823529411762,1322.3875559141957
1.0,299498425,0.0,23544.29,3634.4051091703054,4220.420312890462
1.0,169130600,0.0,39532.34,7449.40294117647,7974.632074212999
1.0,250711248,0.0,53646.48,6015.454285714287,11337.547238513023
1.0,355614705,0.0,31065.64,6069.024324324325,6677.636816985416
1.0,300395140,0.0,27948.26,5098.867727272727,6594.390934554356
1.0,98350968,0.0,24287.31,6535.61975,6789.593466188546
1.0,865301642,0.0,12508.61,4906.2775,6077.928944250528
1.0,687830215,0.0,49283.37,4442.857272727273,11720.840791640449
1.0,27790954,0.0,8649.94,3556.7614285714285,3726.257551017413
1.0,1431401012,0.0,0.0,0.0,0.0
1.0,3458963093,5511.49,11208.16,8922.6525,2519.0652983646537
1.0,23216612,0.0,37138.92,13099.685882352946,12239.918995981989
1.0,636484888,0.0,9453.42,5079.504210526316,3648.6203633920404
1.0,807999990,0.0,9261.04,2690.092777777778,2606.5110074192503
0.0,98350950,0.0,17502.78,5980.662857142857,6219.186463412351
0.0,359095352,0.0,27445.62,6170.602105263159,7470.660105878328
0.0,250663596,0.0,23282.4,4667.183962264151,5619.73795022554
0.0,250700083,0.0,40207.26,6507.076451612903,7949.206392732778
0.0,7878279511,0.0,9383.34,3653.96,2855.7515741452953
