time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,23183939,0.0,6823.71,3038.6469230769235,2186.9647059733447
0.0,353767292,0.0,2770.8,1054.22,1446.7146995866187
1.0,284503674,0.0,40067.14,10991.5041580756,9523.402175163588
1.0,250698926,0.0,24451.69,5662.145608108107,5263.272875277786
1.0,300402698,0.0,3107.37,230.666,756.0109177810929
1.0,250692418,0.0,48978.81,13551.980833333335,12299.476688553083
1.0,722947722,0.0,67479.59,18460.229750000002,19789.15123313096
1.0,31767621,0.0,43260.13,11358.420645161292,10744.296157882132
1.0,651948534,0.0,8157.63,1289.5049999999999,2615.7754244338757
1.0,97788219,0.0,28348.54,7364.228571428572,6229.357798629639
1.0,68612565,0.0,9981.92,3353.2784375,2842.769744664761
1.0,97834909,0.0,29286.93,8638.372962962962,8878.907121321432
1.0,98303804,0.0,40184.07,10195.502,14778.602748619465
1.0,286070638,0.0,35431.28,9523.675294117646,10263.90550704146
1.0,250706417,0.0,27444.23,5753.183999999999,9350.668267320316
1.0,90533474,0.0,8615.79,4023.798148148148,2773.605043615532
1.0,290229784,0.0,2851.27,1838.791,1274.7897322168685
1.0,7147508976,0.0,5146.44,1715.4799999999998,2971.2985193682575
1.0,61031974,0.0,15553.5,6059.280769230769,5299.881827139264
0.0,355614989,0.0,5516.32,2890.2275,2262.1448952616483
0.0,336342001,0.0,7399.97,3334.72,3753.6841317431067
0.0,98350944,0.0,26397.56,4315.514965156831,3004.0615476927096
0.0,355615605,0.0,36950.48,22422.715,13830.091447822855
0.0,355613453,0.0,10083.65,1967.1026315789472,2385.8734257542806
0.0,52493488,0.0,22912.1,4630.914794520547,6137.476667663303
0.0,250691570,0.0,29569.43,8332.147142857142,9989.647049687183
0.0,97846089,0.0,0.0,0.0,0.0
0.0,633562902,0.0,6342.49,3190.448,2270.72560420012
0.0,23217624,0.0,22596.74,7697.550370370369,5750.010104503819
