time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,359096135,4612.9,31429.11,10591.146666666667,7352.507122997115
0.0,353747121,0.0,16314.47,1548.9958571428572,3006.2208773583484
0.0,353769714,0.0,2374.68,182.6676923076923,658.6177309860635
0.0,954315051,6655.25,29136.63,11544.0775,6372.333116625232
0.0,30481589,0.0,16259.34,4444.553157894737,5196.012468561352
0.0,97789076,0.0,36420.81,5835.067777777778,11503.130745276238
0.0,32015255,0.0,41857.52,4797.77701397712,5953.026018354191
0.0,363382193,0.0,0.0,0.0,
0.0,251135284,0.0,16010.24,3391.890909090909,6290.248318458429
0.0,651939696,0.0,6514.12,3145.3424999999997,3636.5076730142705
0.0,295059514,0.0,6479.01,2509.3125,2099.6984429521576
0.0,9685607731,0.0,1739.11,579.7033333333333,1004.07562665037
0.0,250713292,0.0,6014.88,1646.797142857143,2325.477948241424
1.0,741087756,0.0,58137.2,7305.6964139344245,11033.399118455673
1.0,175509068,0.0,28666.1,6320.932040816328,8033.206201394097
1.0,650854064,0.0,19093.32,3727.829821428572,4672.372794430719
1.0,896087075,0.0,34524.42,4496.653631840795,5899.033278040838
1.0,632277796,2465.56,39259.19,13920.008666666667,10326.702931305164
1.0,250691384,0.0,27801.47,10559.403333333334,11421.528415392866
1.0,10976960,0.0,42508.96,5042.849150326794,6880.624823296051
1.0,86435395,0.0,2861.16,1534.7568181818183,1311.4942857032397
1.0,50004617,1976.62,4530.36,3076.2400000000002,1228.4138675001464
1.0,353745417,0.0,7147.83,893.47875,2527.1395318843197
1.0,355615394,6099.13,7950.32,7024.725,1308.9890022647246
1.0,66868001,0.0,5286.11,1386.2247916666668,1256.8167068380294
0.0,250691272,0.0,17665.81,2460.6776923076923,4924.768701494441
0.0,23216789,0.0,58642.6,12619.646268656717,12704.862201367338
0.0,51043103,0.0,13284.44,1846.6813725490197,2838.934523991013
0.0,97846023,0.0,16514.81,5600.16125,4197.352423573154
0.0,250711286,0.0,13323.66,4034.3814285714293,4357.830592827233
0.0,359095357,0.0,0.0,0.0,0.0
0.0,844173360,6273.88,31990.16,19132.02,18184.155974891986
0.0,264095736,0.0,38235.1,9096.222833333333,9942.674010916022
0.0,1548471274,0.0,24748.48,7944.921818181818,7208.709178655799
0.0,250709640,0.0,0.0,0.0,
1.0,429282752,0.0,37255.08,3407.927364620938,5941.1858692952
1.0,751068056,0.0,32094.59,3864.9069491525433,4948.244674918387
1.0,32015255,0.0,51826.98,5523.47462802768,6712.406790536804
1.0,906980926,0.0,36169.89,4500.158356164383,6664.313436475995
1.0,359095747,0.0,29808.84,8343.39357142857,11251.100614468864
1.0,353770666,0.0,18630.67,4023.509512195122,5171.46207476423
1.0,46938927,0.0,36692.1,5256.717814432989,7458.055564598636
1.0,98303803,2706.91,26429.82,10672.613684210524,7528.9048419195815
1.0,23216711,0.0,9431.0,4652.373333333333,4346.926624748417
1.0,32296802,0.0,37470.78,9473.82723076923,9702.179629889453
1.0,31619878,0.0,31459.39,9517.524827586207,9137.662198933702
1.0,10976012,0.0,31296.05,8220.938125,8791.343907823684
0.0,1303525247,0.0,30664.98,8027.820000000002,7443.250036832028
0.0,250711641,0.0,14951.84,3079.5793023255815,3516.732433232517
0.0,250663731,0.0,28267.25,9770.163448275864,6361.807153976026
0.0,7531962666,7456.52,27891.12,12700.866,8611.892245681547
0.0,23183808,0.0,38807.02,7248.760837359113,8697.812044513152
0.0,24219951,6941.61,50471.91,17973.172857142858,15489.925421856735
0.0,168725546,0.0,25380.52,5566.844,8352.418289545913
0.0,10971766,0.0,52048.31,4261.9991089442765,5546.199881408182
0.0,693478102,0.0,15008.19,3586.5066666666667,4677.590830320823
0.0,284240113,0.0,44138.29,8180.402906976745,9485.44241617101
0.0,51156902,0.0,9883.9,2812.644210526316,3723.712578004967
0.0,225898496,0.0,7940.89,3510.00052631579,2729.051105485148
0.0,6558555850,8486.04,8486.04,8486.04,
0.0,168725561,0.0,29425.92,3707.587642857133,4540.303178401291
0.0,95663493,3593.12,5878.49,4180.786,956.8778590447164
0.0,359096073,5143.09,6413.01,5778.05,897.9690435644204
0.0,98350940,0.0,5448.45,2498.5339999999997,2502.0823592120223
1.0,284175000,0.0,45673.28,6031.201290322588,7921.792799410341
1.0,296181857,0.0,41032.04,5459.675289855067,7250.89534441987
1.0,49747552,0.0,19780.72,2934.0305291005284,4140.7836601870495
1.0,633560134,0.0,0.0,0.0,0.0
1.0,9685607731,0.0,8781.42,2195.355,4390.71
1.0,790318519,6162.47,6162.47,6162.47,
1.0,250706416,0.0,22120.11,7374.330000000001,8312.983832795537
0.0,702087350,0.0,46395.76,3536.8982499999997,7399.935337963811
0.0,355614988,0.0,16862.64,5994.375714285715,5712.191972713152
0.0,359095451,0.0,49694.31,6823.360444444444,7632.717739187588
0.0,650854059,0.0,30643.45,12520.138695652175,8863.280067300298
0.0,355615320,0.0,0.0,0.0,
0.0,251136893,5916.12,42078.67,18149.13,20725.325477692742
0.0,10976951,0.0,11113.92,2417.1137647058827,2826.472038444652
0.0,23216605,0.0,32353.82,7924.953483146063,7887.149506519667
0.0,5728492,0.0,0.0,0.0,0.0
0.0,251110313,0.0,1768.94,884.47,1250.8294695121315
1.0,353768985,0.0,34001.02,4517.7463013698625,6529.299043268459
1.0,704278581,0.0,41563.68,11075.736666666668,12167.140171672087
1.0,52493497,0.0,36597.12,5138.484750957855,5907.397606805812
1.0,52493183,0.0,11160.88,2331.2222115384616,2584.527191570341
1.0,81783130,0.0,39004.63,1872.1172839506173,4612.836562954245
1.0,250663675,0.0,30056.88,3885.574196428572,4927.767422092054
1.0,250700344,0.0,50313.56,6584.141625000001,10571.374052026507
1.0,736420840,0.0,18601.66,13525.916666666666,5377.5161690551895
