time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
0.0,632342873,0.04,10.82,2.554444444444444,4.034544928214058
0.0,824855187,0.69,7.45,2.525,2.9598214231846587
0.0,284174992,0.6,1.33,0.8920689655172415,0.24168130299373344
0.0,250920236,0.0,10.69,2.2585227272727297,2.4629965086785806
0.0,251134491,0.0,6.04,1.147333333333333,2.0555659231383987
0.0,725187180,0.0,9.53,1.5836842105263158,2.811968446009553
0.0,359094650,0.0,10.78,2.0752380952380953,3.84940075732265
0.0,977757276,0.0,1.53,0.8492857142857143,0.3297353436096847
0.0,1102900327,0.0,7.26,1.6967857142857146,2.6853443859027597
1.0,170993800,0.0,9.77,1.5087741393786736,2.211665749329957
1.0,cluster_2605248062_304829075_304829200_304829608_,0.0,8.53,1.4676744186046515,2.283991336327396
1.0,217698402,0.0,7.7,1.140204081632653,2.337264684943277
1.0,722947723,0.0,12.77,2.1126455026455027,3.6560464907892114
1.0,633562902,0.0,6.99,3.174,3.032626866972875
1.0,815849127,0.0,6.33,1.895543478260869,2.433318795539588
1.0,251136574,0.0,8.41,1.8377777777777782,2.9793236555373506
1.0,361387955,0.0,5.13,0.6611111111111111,1.685329674310374
1.0,294492608,0.0,5.35,1.2657258064516133,1.9510727394886551
1.0,632242186,0.0,7.51,5.386,3.0595473521421432
0.0,355613603,0.0,6.03,0.9724999999999999,1.9926715735414102
0.0,353770666,0.0,6.35,1.6547826086956519,2.446626377772272
0.0,251136547,0.0,9.12,3.0033333333333334,4.412476251116448
0.0,52493439,0.0,0.96,0.5375,0.35197537792673317
0.0,762743103,0.0,0.47,0.178,0.17099707599839245
0.0,736421288,0.0,0.84,0.4843750000000001,0.39028141556232643
1.0,917870259,0.0,8.18,0.8363592233009713,1.3315975540451048
1.0,229732627,0.0,9.05,1.6191119691119684,2.3334143709501713
1.0,295081898,0.0,0.96,0.47183544303797476,0.36443453905754153
1.0,5519180248,0.0,6.91,0.8555555555555555,1.964856148052494
1.0,97789005,0.0,8.18,1.9103539823008848,2.374282947846548
1.0,569847095,0.66,6.89,4.556666666666667,3.396503103683748
1.0,1124412513,0.0,0.81,0.6855,0.2905834283188897
1.0,250712698,0.0,8.64,1.2333333333333334,2.9769535402744163
1.0,251136502,0.0,7.78,3.89,5.50129075763134
1.0,188661337,0.0,1.0,0.43624999999999997,0.34860981676915825
1.0,23217604,0.0,8.03,1.267272727272727,2.489339521923688
1.0,429282753,0.0,6.74,0.3830769230769232,1.360311050402133
1.0,251136570,0.0,6.99,2.5662499999999997,2.8154570169487076
1.0,678788075,0.0,0.86,0.5233333333333333,0.4593836450433704
0.0,363391447,0.0,8.86,1.9284375,2.5618807473630927
0.0,97846093,0.64,0.66,0.65,0.010000000000000009
0.0,242137,0.0,0.66,0.3175,0.3318577186906242
0.0,250921557,0.67,0.67,0.67,
0.0,7785719852,0.0,0.0,0.0,
0.0,31767684,0.0,0.81,0.39203124999999994,0.30062991902717484
0.0,727447798,0.0,0.0,0.0,
1.0,250700085,0.0,8.43,2.0279245283018867,2.4247413490059304
1.0,391433168,0.0,7.84,1.0435779816513762,1.8698601269414556
1.0,1101347640,0.0,9.26,1.5163752276866878,1.978277209330335
1.0,353747121,0.0,6.18,0.6750000000000003,1.088178100747928
1.0,32015537,0.0,3.81,0.47365853658536583,0.6956966704476212
1.0,23216841,0.0,9.12,1.1732089552238805,2.1109505398216544
1.0,250699362,0.0,9.64,1.7264220183486239,2.5139111194606185
1.0,234440706,0.0,8.17,1.9735238095238092,2.798709861069362
1.0,10976970,0.0,7.43,1.428,2.3497843872718764
1.0,1053964639,0.69,0.9,0.782,0.08043631020876087
1.0,250921486,0.0,0.0,0.0,0.0
1.0,6356544246,0.0,8.1,1.6714285714285713,2.5240287001381105
1.0,355613018,0.0,0.37,0.185,0.2616295090390226
1.0,2299673255,0.0,8.38,2.095,4.19
0.0,cluster_2113408277_212986801_6281867407_6356544243_,0.0,3.16,0.660952380952381,0.6981611902841979
0.0,10741757,0.0,5.08,0.6188513513513513,0.6602519861660824
0.0,250711516,0.0,5.85,1.6246153846153844,2.2268872721978816
0.0,250700084,0.0,11.19,1.377241379310345,2.3598861057139864
0.0,2423075410,0.0,0.87,0.435,0.6151828996322963
0.0,43386253,1.15,2.41,1.5228571428571431,0.43400131665369746
0.0,359095747,0.0,8.21,1.7205555555555556,2.774271440602702
0.0,32015189,0.0,8.39,1.1605932203389828,2.0397508368375226
0.0,251136575,0.0,0.3,0.09999999999999999,0.17320508075688773
0.0,250691827,0.0,6.5,1.9477777777777783,2.4909519927259454
0.0,760071200,0.0,5.57,2.414117647058824,2.427838696308739
0.0,115333519,0.0,1.17,0.3386111111111111,0.3595564948876226
0.0,722762256,0.0,7.45,1.6740322580645155,2.3892652411117905
0.0,32296802,0.0,1.03,0.45875,0.39043702620086046
0.0,207979568,0.63,5.42,1.51,1.311675772945942
0.0,23182850,0.0,8.68,6.158461538461538,2.8695726922135005
1.0,7214467394,0.0,8.46,1.629727272727273,2.443006316938923
1.0,2296239316,0.27,8.41,2.6595652173913042,3.238472533128247
1.0,297174816,0.0,7.72,1.843157894736842,2.67148586560423
1.0,61072220,0.0,5.92,0.6727272727272727,1.5782038121634585
1.0,260124785,0.0,10.8,1.5303296703296705,2.615454687705988
1.0,1303525313,0.0,6.86,0.8551351351351352,1.4326735334518657
1.0,2287255820,0.0,6.64,1.3083333333333333,2.3557929887960456
