time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
0.0,250713287,0.57,1.79,1.18,0.8626702730475881
0.0,250714051,0.0,11.11,2.0598148148148145,2.4887387809443524
0.0,44463540,0.0,7.69,3.3554166666666667,2.9431378982993297
0.0,66868059,0.0,5.54,1.752112676056338,2.233554448146949
0.0,966013902,0.0,7.35,2.071944444444444,2.912586302284272
0.0,61093639,0.0,7.66,1.3986448598130843,2.0214865851962474
0.0,23182767,0.0,11.83,1.3490540540540539,2.395357029804191
0.0,49864483,0.0,1.03,0.4365,0.35025216480040267
0.0,525503454,0.0,0.06,0.02666666666666667,0.029439202887759492
0.0,68612565,0.0,0.23,0.03125,0.08043409014306595
0.0,52493437,0.0,8.19,4.770937499999997,2.3975180168518095
0.0,617806824,0.0,0.0,0.0,
1.0,717120664,0.0,9.24,2.3921602787456453,2.9666934695133347
1.0,52493354,0.0,8.64,0.9753906250000011,1.518209053432097
1.0,909208929,0.0,5.7,0.6300526315789475,1.0945581377942089
1.0,251144773,0.0,2.09,0.6,0.5806422776076975
1.0,251137589,0.0,6.37,1.1488888888888888,1.5166289588072654
1.0,33878323,0.0,6.58,1.1357142857142857,2.0943741587603486
1.0,824855242,0.0,5.16,0.7796153846153846,1.5958708738973357
1.0,803870833,0.0,7.34,1.885,2.948723053638443
1.0,998311565,0.0,2.41,0.39333333333333337,0.6027753273302544
0.0,250692063,0.0,10.27,2.7064705882352946,3.2369348609630144
0.0,68612589,0.0,1.78,0.84125,0.6769561602180327
0.0,8446047162,0.0,8.62,2.023895131086143,2.4772158373364728
0.0,359095614,0.0,7.32,1.4855555555555555,2.744886660279032
0.0,8484977584,0.0,6.93,1.1040909090909092,2.2281323059770686
0.0,734382122,0.35,8.9,2.522884615384615,2.941148459519707
0.0,790308477,0.0,9.13,1.2906956521739128,2.6410111439939494
0.0,384593008,0.0,6.59,3.3862499999999995,2.6442873060888936
0.0,62330706,0.0,0.85,0.28966666666666663,0.3186878629991869
0.0,95663501,1.18,4.49,2.835,2.3405234457274724
0.0,234000634,0.63,1.65,1.0166666666666666,0.37636418533117627
0.0,242134,0.0,0.67,0.39454545454545453,0.3137312109549713
1.0,23216679,0.0,9.03,1.144938271604939,1.7384706800691516
1.0,250710162,0.0,0.31,0.06375,0.12164791114406481
1.0,8253823131,0.0,0.76,0.4666666666666666,0.4085747585611883
1.0,250663757,0.0,8.13,0.7076923076923077,2.2357890249535095
1.0,250920978,0.0,9.81,2.0001587301587302,2.828521494591495
1.0,601293993,0.0,0.27,0.05818181818181818,0.09325429553840207
1.0,633562897,0.0,0.72,0.33999999999999997,0.39395431207184417
0.0,655213200,0.0,7.53,3.319090909090909,3.137841470009135
0.0,651185404,0.0,7.21,1.4346,2.3000933521427838
0.0,10972563,0.0,6.97,1.4510638297872338,2.507683179873366
