time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
0.0,1303525247,0.0,8.12,1.6808,2.449253151472914
0.0,250711641,0.0,6.09,1.0018604651162788,1.843649661759126
0.0,250663731,0.0,7.81,3.467931034482759,2.68154856554186
0.0,7531962666,0.74,7.76,2.226,3.096438276471856
0.0,23183808,0.0,9.18,1.9450563607085272,2.610537555267785
0.0,24219951,0.62,10.68,2.9064285714285707,3.912965837871786
0.0,168725546,0.0,7.43,1.2765,2.554816452362705
0.0,10971766,0.0,10.89,1.773386012104955,2.1365831654518046
0.0,693478102,0.0,1.44,0.4733333333333334,0.4761956728494912
0.0,284240113,0.0,9.86,1.7523255813953487,2.797401598718776
0.0,51156902,0.0,1.65,0.3442105263157895,0.5013904642699327
0.0,225898496,0.0,0.86,0.36684210526315786,0.3442875515156698
0.0,6558555850,0.87,0.87,0.87,
0.0,168725561,0.0,5.43,0.8053571428571432,0.5539283005758311
0.0,95663493,0.67,0.78,0.73,0.05522680508593627
0.0,359096073,0.33,0.48,0.405,0.1060660171779821
0.0,98350940,0.0,0.58,0.238,0.25772077913897434
1.0,284175000,0.0,10.06,2.2512903225806435,2.5070077659657994
1.0,296181857,0.0,9.46,1.676014492753624,2.3773479616367235
1.0,49747552,0.0,6.71,0.8773015873015876,1.8501562955966084
1.0,633560134,0.0,0.0,0.0,0.0
1.0,9685607731,0.0,0.92,0.23,0.46
1.0,790318519,0.74,0.74,0.74,
1.0,250706416,0.0,7.01,2.32,3.0820642433278382
0.0,702087350,0.0,10.14,0.8320000000000001,1.5528075482980117
0.0,355614988,0.0,3.0,0.7471428571428572,1.0389532277844895
0.0,359095451,0.0,10.58,1.3015555555555558,1.96802734131455
0.0,650854059,0.0,8.12,2.5817391304347828,3.0448878948969726
0.0,355615320,0.0,0.0,0.0,
0.0,251136893,0.37,9.58,3.59,5.192369401342706
0.0,10976951,0.0,5.6,1.2129411764705884,1.9241515282434116
0.0,23216605,0.0,8.34,2.2073033707865175,2.822132802447042
0.0,5728492,0.0,0.0,0.0,0.0
0.0,251110313,0.0,0.4,0.2,0.28284271247461906
1.0,353768985,0.0,8.56,1.0093150684931507,2.251400384431829
1.0,704278581,0.0,9.53,2.8342424242424245,3.450785264167265
1.0,52493497,0.0,8.89,0.893754789272031,1.4283768629872717
1.0,52493183,0.0,5.61,1.0987820512820514,1.7870361468889597
1.0,81783130,0.0,9.2,0.3959259259259259,1.1888805425459887
1.0,250663675,0.0,8.05,1.5586607142857143,2.1478262615057813
1.0,250700344,0.0,10.64,1.48125,2.8093935446298004
1.0,736420840,0.0,1.91,1.3055555555555556,0.5382636693831172
1.0,7611788793,0.0,0.67,0.22333333333333336,0.3868246803570493
1.0,295059514,0.0,0.84,0.2341176470588235,0.2571735509225582
1.0,651939693,0.0,6.1,3.18,3.318503678868936
1.0,250691582,0.0,0.42,0.13999999999999999,0.2424871130596428
0.0,168737311,0.0,11.06,1.479543859649124,2.482047400483241
0.0,170644475,0.0,8.7,1.6541428571428574,2.2575452976212738
0.0,31616815,0.0,7.21,1.971037037037037,2.6331370752064878
0.0,972965170,0.0,9.45,1.3421875000000003,1.851064616907953
0.0,651948530,0.0,8.94,1.846712328767123,2.8241419812015076
0.0,881725972,0.0,0.0,0.0,0.0
0.0,636505057,0.0,7.9,1.8464102564102554,2.6409771787804996
0.0,223683296,0.0,11.25,2.7259523809523807,3.917197890680313
0.0,98350968,0.0,0.88,0.41333333333333333,0.45376939811612094
0.0,98350932,0.0,2.18,0.3251219512195121,0.5183669606870678
0.0,207891571,0.0,7.39,2.1900000000000004,2.7516237630412577
0.0,1000830904,0.58,9.42,2.0742857142857143,3.253151585477571
0.0,601294006,0.69,0.81,0.7425,0.05123475382979804
0.0,565176312,0.0,0.8,0.21888888888888888,0.2704368893311545
0.0,1040608909,6.29,6.29,6.29,
0.0,808000024,0.0,0.65,0.384,0.35061374759127745
1.0,296181852,0.0,8.47,1.2916434892541007,1.753677894108125
1.0,8484977587,0.0,6.61,1.7185915492957744,2.164873005694493
1.0,653971685,0.0,8.75,0.773529411764706,2.0759544225984063
1.0,9769867771,0.0,0.0,0.0,0.0
1.0,23217726,0.0,1.1,0.29379999999999995,0.31132298341111925
1.0,30481589,0.0,0.73,0.21,0.2464659297863592
0.0,97834909,0.0,6.68,2.0377777777777775,2.812536129034467
0.0,636742500,0.0,8.55,0.9304580152671755,2.033953279319486
0.0,31619827,0.0,9.12,2.5162222222222224,2.9408048441392927
0.0,704293239,0.0,11.52,1.519922779922779,2.615885039423574
0.0,31767666,0.0,7.97,1.47,2.4580263085112275
0.0,909651171,0.61,6.53,3.5550000000000006,3.3834942490468833
0.0,262646166,0.0,7.98,1.7132812499999996,2.406917640430211
0.0,482987486,0.0,8.15,1.73811320754717,2.786551533432686
0.0,790318519,0.78,3.41,2.5333333333333337,1.5184312079687157
0.0,1098886968,0.0,10.91,3.701416666666665,3.6415473964683267
0.0,359094352,0.0,0.95,0.538,0.3627257917490842
0.0,51043106,0.0,0.84,0.454,0.42092754720973063
0.0,359095409,0.57,0.8,0.6966666666666667,0.11676186592091331
0.0,363391934,0.0,0.36,0.18,0.2545584412271571
0.0,881725981,0.6,1.11,0.8233333333333333,0.2608320021265285
1.0,353768003,0.0,7.01,1.1333823529411764,2.055775708114091
1.0,62326679,0.0,0.65,0.37538461538461537,0.300177431504461
1.0,49298623,0.0,5.34,0.5525116279069769,0.8410636448989471
1.0,32295538,0.0,9.71,2.7275689881734553,2.5807708973310057
1.0,1005854988,0.0,7.82,2.421666666666667,3.5961002025342212
1.0,251134301,0.0,0.0,0.0,0.0
1.0,11031664,0.0,9.16,2.098352059925084,2.846746613399037
1.0,70689748,0.0,8.22,1.6993243243243246,2.558120206179381
1.0,40560443,0.0,9.42,1.477531120331951,2.151774185549952
1.0,9487245296,0.0,1.25,0.5362500000000001,0.5301195956709068
1.0,760071200,0.0,0.64,0.292,0.3091134275813833
1.0,763490835,0.0,1.08,0.5109523809523809,0.4230473349627055
1.0,659981101,0.0,4.85,1.151818181818182,1.51707908529811
1.0,844173322,0.0,7.33,2.948,3.4416086355075297
0.0,482987487,0.0,8.37,3.2443697478991624,2.7001135062944415
0.0,250711247,0.0,9.16,1.2650000000000001,2.7902857281010567
0.0,10976960,0.0,8.91,1.5808571428571427,2.2799620924167017
0.0,52493739,0.0,10.26,0.388,1.5527633179492057
0.0,251136498,0.0,8.39,1.3114285714285714,3.13521093693034
0.0,249412140,0.0,5.76,1.9402439024390246,2.1956599096910225
0.0,359095602,0.0,0.22,0.11,0.15556349186104046
1.0,250920324,0.0,8.37,1.780559284116297,1.8339949218945537
1.0,300401860,0.62,6.65,1.4694117647058822,1.9277884692966034
1.0,250921223,0.0,5.96,1.6188888888888888,2.3396177275595926
1.0,353746355,7.28,7.76,7.466666666666668,0.25716402029314533
1.0,251144771,0.0,1.26,0.41625,0.4889036568837318
1.0,336340433,0.0,0.8,0.2509090909090909,0.2795158151323301
1.0,10972563,0.0,0.55,0.09615384615384616,0.17428608959306258
0.0,23217626,0.0,9.19,3.519527559055118,3.392492612259379
0.0,824837239,0.0,8.69,1.0424999999999998,2.0617322813595367
0.0,359094098,0.0,7.42,1.8348,2.42896088893996
0.0,359095285,0.0,9.1,1.5468571428571434,2.628847624327582
0.0,97834697,0.0,0.0,0.0,0.0
0.0,651948525,0.0,7.47,2.3340000000000005,2.8043446588315852
0.0,23182798,0.0,9.01,2.070042194092827,2.5567182185488435
0.0,23184108,0.0,8.92,2.3621875,3.2821587451288528
0.0,81783130,0.0,0.3,0.0304,0.0794501940421377
0.0,251136320,0.0,6.91,0.4897260273972603,1.3800663959497865
0.0,250699982,0.0,6.51,0.9825555555555555,2.004614654393517
0.0,972690969,0.0,12.5,1.5429850746268656,3.105306404275947
0.0,353792192,0.0,5.63,0.815161290322581,1.596983572531669
0.0,355614382,0.76,0.76,0.76,
0.0,2287255821,0.0,0.0,0.0,
1.0,286070637,0.0,11.3,1.941678591084237,1.9730791351484316
1.0,45879106,0.0,5.35,2.076701030927835,2.3613761531720776
1.0,653974958,0.0,7.36,3.428,3.307122952389618
1.0,168725546,0.0,8.81,0.6532911392405063,1.971685288196296
1.0,250920242,0.0,8.6,2.0304793028322434,2.1834962021866917
1.0,251135669,0.0,0.82,0.20777777777777778,0.2845544619753227
1.0,634252646,0.0,9.11,0.9232978723404254,1.943501438860442
1.0,359095409,0.0,7.62,1.7463636363636363,2.5868524222586524
1.0,1214975690,0.0,1.05,0.3780952380952381,0.39234702812203187
1.0,338770292,0.0,4.37,0.7996566523605165,0.26999658787905306
1.0,363391832,0.0,6.31,1.985,2.763977700212635
1.0,251136501,0.12,6.71,1.7739999999999996,2.770330305216329
1.0,807999952,0.0,0.65,0.3125,0.361420807370024
0.0,359095055,0.0,2.57,0.6619999999999999,1.0957508840972934
0.0,250922421,0.0,9.01,0.8715384615384614,2.2859773200301676
0.0,824855344,0.0,8.87,1.192222222222222,2.9072615025904436
0.0,807999990,0.0,5.3,0.8235714285714284,1.528432298469674
0.0,1053955140,0.0,6.36,0.7323333333333335,1.3719712605097836
0.0,632323820,0.72,1.35,0.9766666666666667,0.33080709383768264
0.0,10741726,0.0,1.26,0.5285714285714286,0.33330183001314273
0.0,952120232,0.0,9.71,2.5812500000000003,3.8777071189041603
0.0,11271557478,0.0,0.76,0.3775,0.435918570377542
0.0,50033294,0.0,0.85,0.22375,0.3324429775665796
0.0,353749537,0.0,6.4,3.2,4.525483399593905
0.0,250921487,0.0,0.0,0.0,
0.0,32015581,0.0,0.8,0.562,0.3215898008332976
1.0,251110788,0.0,9.26,3.882631578947368,3.393437853834406
1.0,901261052,0.0,6.18,0.5559375,1.4535714844767254
1.0,250691739,0.0,10.46,1.8408196721311478,2.6020381681232383
1.0,31616871,0.0,8.85,1.9494230769230774,2.775202104254213
1.0,7232153327,0.0,8.53,1.683421052631579,2.9541581105701686
1.0,251134802,0.75,0.75,0.75,
