time_period,parse_lane_name(vehicle_lane),min(vehicle_CO),max(vehicle_CO),avg(vehicle_CO),stddev(vehicle_CO)
0.0,250713287,98.38,399.19,248.785,212.70479084872537
0.0,250714051,0.0,408.9,113.73462962962961,66.28054621428531
0.0,44463540,0.0,141.51,39.69875,41.59385555714564
0.0,66868059,0.0,164.78,52.38408450704226,58.961711149269576
0.0,966013902,0.0,66.7,12.965555555555554,15.988474857032745
0.0,61093639,0.0,164.78,85.4266822429907,71.01878469166913
0.0,23182767,0.0,983.51,109.971981981982,145.11115500353932
0.0,49864483,0.0,170.94,72.489,59.29957565304814
0.0,525503454,0.0,2.68,0.9433333333333334,1.1718816777587517
0.0,68612565,0.0,29.56,3.695,10.451038225937172
0.0,52493437,0.0,44.54,21.924687499999994,12.875240551307469
0.0,617806824,0.0,0.0,0.0,
1.0,717120664,0.0,625.7,57.67080139372826,82.54133995643076
1.0,52493354,0.0,803.6,102.95154017857122,81.17154145102718
1.0,909208929,0.0,164.78,78.6663157894737,67.79898562145624
1.0,251144773,0.0,348.94,102.3325,95.63632489089261
1.0,251137589,0.0,849.5,151.02944444444444,178.2834813525993
1.0,33878323,0.0,129.15,39.51357142857143,38.90830523299487
1.0,824855242,0.0,139.76,45.47500000000001,59.19309941200917
1.0,803870833,0.0,64.07,20.994444444444444,22.55788298948552
1.0,998311565,0.0,527.38,73.46866666666666,131.3640450844613
0.0,250692063,0.0,335.66,116.85274509803926,81.80462224296207
0.0,68612589,0.0,390.0,191.04375,151.4066639350084
0.0,8446047162,0.0,453.59,82.80213483146068,57.048881714051674
0.0,359095614,0.0,92.65,26.24,37.957633948917305
0.0,8484977584,0.0,119.46,22.97340909090909,28.61954933933957
0.0,734382122,40.51,1872.93,207.27442307692309,301.4008034808075
0.0,790308477,0.0,334.02,26.238782608695658,46.34293916861186
0.0,384593008,0.0,140.67,31.707499999999996,45.33402120451514
0.0,62330706,0.0,164.78,48.71633333333334,59.05032567187096
0.0,95663501,190.03,981.68,585.855,559.7810833263303
0.0,234000634,100.01,271.65,166.54333333333338,62.81892230848918
0.0,242134,0.0,131.04,78.07363636363635,62.0465594973206
1.0,23216679,0.0,192.31,102.06495884773658,70.36396690828671
1.0,250710162,0.0,61.76,10.65,22.220811352037916
1.0,8253823131,0.0,141.92,81.41,73.23202236726772
1.0,250663757,0.0,69.76,16.936923076923076,27.224202279287997
1.0,250920978,0.0,229.43,93.92603174603175,66.9979404002089
1.0,601293993,0.0,36.47,6.878181818181818,12.689161373535935
1.0,633562897,0.0,122.54,58.475,67.67520151429179
0.0,655213200,0.0,157.57,73.44636363636363,55.53609803951431
0.0,651185404,0.0,164.78,50.54060000000001,45.632571763545194
0.0,10972563,0.0,68.16,14.5068085106383,20.17918461600673
0.0,300402610,22.9,153.19,103.37311111111111,45.03066101013954
0.0,219615781,0.0,177.89,106.26727272727273,63.65151751386751
0.0,584037841,0.0,124.25,61.028333333333336,66.88913347223648
1.0,23184216,0.0,165.57,63.105074074074125,63.56498166626346
1.0,32015189,0.0,846.6,78.71171511627908,94.63273044148484
1.0,101357275,0.0,164.78,68.67133333333331,62.32060192034128
1.0,95663492,0.0,475.65,75.10045454545453,84.48530941391721
1.0,44463538,0.0,258.01,26.398253968253968,45.12394255895081
1.0,359094862,0.0,349.01,39.83390625,62.950445883090936
1.0,1016179784,0.0,230.48,35.01477611940298,50.42279460955132
1.0,355613012,0.0,118.77,37.148,53.443263747641765
1.0,1118771576,0.0,177.84,81.65799999999999,88.64421876242127
1.0,7127124359,101.2,101.2,101.2,
1.0,650854054,0.0,0.0,0.0,0.0
1.0,11270494938,0.0,131.17,64.13499999999999,74.0945632283503
0.0,32015501,0.0,33.74,6.2155555555555555,12.666537718641893
0.0,250713286,0.0,454.15,151.532,155.5989939127714
0.0,767331322,0.0,463.52,78.3146153846154,128.02309112131456
0.0,31767638,0.0,637.68,96.24179104477611,101.28740371482034
0.0,251144774,0.0,274.08,140.8290476190476,78.42128007784379
0.0,23183369,0.0,221.12,74.63404029692444,63.492107362670964
0.0,483384217,0.0,187.57,45.617142857142866,68.44541492174275
0.0,355613297,0.0,20.97,5.2425,10.485
0.0,353767906,122.36,124.61,123.485,1.590990257669732
1.0,2511789008,0.0,152.09,103.05182795698924,52.400720704184074
1.0,250692063,0.0,1157.85,137.6681111111111,166.90060551451307
1.0,824855120,0.0,164.78,97.80734513274345,72.39704482633958
1.0,250920416,41.1,266.32,126.19866666666665,71.10594448393454
1.0,97788769,0.0,164.78,65.36275000000002,68.80795146312148
1.0,807999996,0.0,180.94,73.69550000000001,66.61475871519922
