time_period,parse_lane_name(vehicle_lane),min(vehicle_CO),max(vehicle_CO),avg(vehicle_CO),stddev(vehicle_CO)
0.0,355614989,0.0,224.86,92.75500000000001,95.38228015028089
0.0,336342001,0.0,76.21,49.25333333333333,42.71822834965576
0.0,98350944,0.0,326.89,75.77491289198528,71.85976579574469
0.0,355615605,0.0,256.54,102.1675,93.11803243349655
0.0,355613453,0.0,404.73,58.07052631578947,92.0606146015695
0.0,52493488,0.0,164.72,17.18931506849315,31.128464614345745
0.0,250691570,0.0,156.79,59.027142857142856,61.64996180433683
0.0,97846089,0.0,0.0,0.0,0.0
0.0,633562902,0.0,95.98,64.852,37.76410690060074
0.0,23217624,0.0,164.78,69.80925925925928,54.53255442153697
0.0,250921486,0.0,0.0,0.0,0.0
0.0,353767798,0.0,126.89,63.2975,73.09005421396266
0.0,2879225651,43.86,61.59,53.92666666666667,9.106054762263039
1.0,402402482,0.0,111.19,27.741250000000008,23.801865090985267
1.0,844627879,0.0,217.5,60.354067796610174,53.97073306890805
1.0,299496933,0.0,1097.31,124.31065420560746,174.24798494420287
1.0,10741763,0.0,742.41,82.32669642857142,120.4204972629667
1.0,175509069,0.0,1355.65,137.71761363636358,194.18429057246078
1.0,355612724,0.0,610.08,122.581,144.1005360336054
1.0,355614986,0.0,65.91,18.052500000000002,25.472391076278196
1.0,359096480,33.24,513.19,132.37129032258065,84.38792894492023
1.0,31621981,0.0,164.78,89.4466025641026,67.29282227454338
1.0,881725974,0.0,385.5,102.60708502024293,76.82333175035077
1.0,824855132,35.04,177.67,108.6575,51.384145901240785
1.0,353771685,0.0,279.43,62.150740740740744,71.0124782060777
1.0,661080035,0.0,164.78,74.41699619771873,68.61172132761395
1.0,1040608909,36.47,36.47,36.47,
1.0,807999459,0.0,25.29,16.997500000000002,11.49791104215602
1.0,254731664,0.0,164.78,58.70634146341464,56.57060653537742
1.0,251136547,0.0,0.0,0.0,
0.0,659981101,0.0,164.78,99.64562500000002,78.39700014576349
0.0,365722346,0.0,151.79,37.39933333333333,58.033765475265305
0.0,636746261,0.0,164.78,77.29705882352941,62.42698608043915
0.0,881725975,0.0,550.49,91.79431693989063,84.10486236133927
0.0,250707461,0.0,231.38,38.56333333333333,94.46048944752863
0.0,260124786,0.0,1478.32,101.17601815823578,94.77928117799715
0.0,251136894,0.0,65.15,41.626666666666665,36.151467927780374
0.0,224026849,0.0,164.78,92.62810810810811,61.73039557615023
0.0,820421379,0.0,267.74,103.76999999999998,84.32247116194556
0.0,31767615,0.0,164.78,72.69529411764705,60.13817615898453
0.0,909129701,0.0,189.26,109.42611111111108,72.61174634669199
0.0,899624046,0.0,164.78,97.76583333333333,60.47506435162623
1.0,881519850,0.0,561.18,67.88976190476194,81.28135515804452
1.0,168914464,0.0,751.43,40.615951629863346,58.110661970468726
1.0,516020524,0.0,213.47,76.7404697986577,54.71882679534421
1.0,784764127,0.0,1036.73,110.35396739130441,114.18875348724852
1.0,359096233,0.0,223.03,73.59375000000001,85.54055444850205
1.0,298298663,0.0,344.43,120.088487654321,95.86330185528436
1.0,32077250,0.0,150.56,42.484,34.214362648288095
1.0,280005151,0.0,711.14,73.05788461538462,94.63051612397277
1.0,23199927,0.0,1691.11,109.188092016238,84.83122344297786
1.0,250699030,0.0,436.13,87.65971830985916,81.69479535742131
1.0,791288820,0.0,1046.19,109.90917808219174,174.21950209556385
1.0,767329777,0.0,349.99,79.11416666666668,94.75695536556415
1.0,767331346,0.0,22.16,3.165714285714286,8.375692721884477
1.0,250720834,0.0,219.12,43.07033333333334,45.240680235391245
1.0,1137831808,0.0,0.0,0.0,0.0
1.0,48650461,0.0,135.85,47.656470588235294,42.077406191027336
1.0,883118289,0.0,219.17,62.47349999999999,77.9448616364563
1.0,824855356,0.0,69.94,45.23,39.22631387219554
1.0,363382193,139.84,141.86,140.85000000000002,1.4283556979968333
0.0,353745420,0.0,143.09,40.70857142857143,46.598900983361645
0.0,188661337,0.0,142.49,56.569,43.104311776018534
0.0,688104223,0.0,417.51,108.9231192660549,77.00236242319815
0.0,97788586,0.0,69.27,15.750666666666667,22.611857340363535
0.0,251136461,0.0,123.45,24.070000000000004,49.4033480646808
0.0,48650461,0.0,168.25,81.02319999999999,65.84480166269773
0.0,45879106,0.0,179.19,75.57362068965519,72.32602833268197
0.0,6558555855,141.89,164.71,151.53,11.814685776608718
1.0,10976954,0.0,316.18,80.10400577557728,71.90643330783438
1.0,97789184,0.0,632.71,97.15583333333332,134.6421921699095
1.0,97846082,0.0,304.52,73.81578125,67.25493464646735
1.0,353749650,0.0,193.91,60.520714285714284,60.246265224866626
1.0,175509066,0.0,759.12,56.69449567723343,67.69566639391773
1.0,250920248,0.0,167.23,92.47787449392665,71.04445466949865
1.0,51249532,0.0,784.41,73.593661971831,129.29612699137516
1.0,359095389,0.0,140.64,65.62615384615384,63.52275517986469
1.0,904572342,0.0,89.16,17.54,26.6005707958808
1.0,50826617,0.0,768.26,82.99906976744187,134.72921252408395
1.0,11256819886,0.0,176.96,48.84400000000001,77.31440279792635
1.0,250699973,0.0,373.44,119.44818181818182,85.82849696793538
1.0,359094866,0.0,81.93,15.59,20.578154112229473
1.0,1172304051,19.03,19.03,19.03,
1.0,704135432,0.0,164.66,35.14215384615385,37.1369291647608
1.0,49795118,0.0,164.78,62.52826086956522,63.45174076358232
0.0,468810769,0.0,264.8,93.7375609756098,69.59689759495897
0.0,355614519,0.0,672.11,107.79666666666668,150.21037674659146
0.0,97846091,0.0,260.18,120.21076923076924,77.59724624211205
0.0,51105853,0.0,150.17,67.34119999999999,52.679676925736736
0.0,353746922,0.0,98.85,46.18333333333334,49.7428973154292
0.0,7127124359,0.0,135.81,67.905,96.03217195294502
0.0,8198127487,0.0,0.0,0.0,
1.0,251136323,0.0,721.14,80.47388739946378,65.25611532055231
1.0,286067598,0.0,1131.15,64.60223642172514,78.3815798497644
1.0,962356679,0.0,176.83,88.9170503597122,55.17931271211616
1.0,250698925,0.0,93.81,17.146621621621623,20.904929370649757
1.0,353767664,0.0,212.68,66.012,53.096213370500486
1.0,353767051,0.0,120.07,31.907142857142855,40.81105516657862
0.0,10976433,0.0,1366.24,102.56578263841405,112.27935777944447
0.0,632342873,0.0,192.21,85.19555555555557,59.32174898616677
0.0,824855187,36.53,235.76,122.55624999999999,64.49439066140337
0.0,284174992,93.35,215.2,148.09413793103448,37.89907401029
0.0,250920236,0.0,1040.15,90.92852272727238,108.39185272940743
0.0,251134491,0.0,147.44,41.27433333333333,53.40999129591658
0.0,725187180,0.0,1187.73,93.1985964912281,164.68669387917205
0.0,359094650,0.0,315.39,47.83428571428572,81.07372302857618
0.0,977757276,0.0,250.82,140.05964285714285,52.29258494861835
0.0,1102900327,0.0,125.65,32.721071428571435,35.17255909973482
1.0,170993800,0.0,417.65,105.15871536523909,71.74846106120222
1.0,cluster_2605248062_304829075_304829200_304829608_,0.0,426.92,61.81573643410854,68.36958193541733
1.0,217698402,0.0,177.38,30.899591836734693,41.49510477951905
1.0,722947723,0.0,1658.68,127.70391534391533,197.597076313308
1.0,633562902,0.0,534.72,111.28933333333335,141.09418062651156
1.0,815849127,0.0,164.76,34.728369565217385,35.52763138485261
1.0,251136574,0.0,195.07,59.566666666666656,76.02995100616599
1.0,361387955,0.0,93.69,21.723333333333333,38.207876478548236
1.0,294492608,0.0,133.76,51.930725806451605,58.51638685328438
1.0,632242186,0.0,40.12,26.954,15.675000159489633
0.0,355613603,0.0,142.9,41.54625,50.68758860247085
0.0,353770666,0.0,131.23,40.0891304347826,43.32615165683773
0.0,251136547,0.0,114.61,34.77333333333333,45.45320304078324
0.0,52493439,0.0,164.78,94.6275,62.754277570005804
0.0,762743103,0.0,74.12,25.511000000000003,26.917983848060473
0.0,736421288,0.0,164.77,93.24125000000001,76.22299669391121
1.0,917870259,0.0,325.01,98.30446601941755,70.89790142035966
1.0,229732627,0.0,821.66,71.88159845559832,71.25429021705516
1.0,295081898,0.0,164.78,91.71088607594936,74.82039157467844
1.0,5519180248,0.0,126.13,32.446666666666665,44.914025235522395
1.0,97789005,0.0,182.13,93.12230088495578,55.08927010201665
1.0,569847095,29.1,114.46,59.68,47.548001009506166
1.0,1124412513,0.0,164.78,139.1041666666666,59.03533114180523
1.0,250712698,0.0,159.8,21.384666666666664,44.34128725283125
1.0,251136502,0.0,39.96,19.98,28.25598697621444
1.0,188661337,0.0,166.66,73.21791666666667,59.630876885047655
