time_period,parse_lane_name(vehicle_lane),min(vehicle_CO),max(vehicle_CO),avg(vehicle_CO),stddev(vehicle_CO)
0.0,251144197,0.0,117.81,37.58428571428571,40.06531786019045
0.0,10741758,0.0,219.41,73.37958333333334,55.767488293163865
0.0,881725969,0.0,164.78,71.39361702127661,76.48824180985974
0.0,2966514653,135.73,178.19,156.95999999999998,30.023753929180813
0.0,355613602,0.0,141.51,48.44,67.8811244014122
0.0,68612576,0.0,747.5,103.12487804878049,153.7271610861586
0.0,388172082,0.0,164.72,29.845,51.24699866550452
0.0,790318524,0.0,744.58,90.61253731343284,101.94807612349867
0.0,250710162,0.0,145.13,19.254444444444445,48.113277562204985
0.0,250921080,0.0,81.72,18.695,33.191392709556496
0.0,2300286948,20.43,72.52,46.7225,29.191604243914608
1.0,601290889,0.0,684.85,149.39192770013224,45.15114216026274
1.0,298383050,0.0,776.84,102.37713910761154,86.47897274363147
1.0,419194293,0.0,159.58,21.836802325581438,15.672553530281107
1.0,250700084,0.0,409.39,88.05886178861788,63.15954822099934
1.0,97788213,0.0,235.12,127.64299999999999,77.72213427760889
1.0,892605848,0.0,152.28,30.517647058823528,39.92790151157016
1.0,54700033,0.0,271.85,141.9059090909091,62.965229154411354
1.0,1062776770,97.07,97.07,97.07,
0.0,97834824,0.0,79.5,32.20125,27.676399145171636
0.0,31767642,0.0,800.12,65.14916666666666,96.67127006380501
0.0,677284299,0.0,164.78,62.47391891891894,59.218746333474535
0.0,650854063,0.0,101.49,7.249285714285714,27.12434344169195
0.0,762793106,0.0,1296.65,59.99880095923258,91.70051987417226
0.0,2318403662,0.0,457.75,87.5651515151515,75.52142931947463
0.0,97839384,0.0,147.42,90.20875000000001,55.64482633825256
0.0,250708783,0.0,371.88,90.17412698412696,72.3392215400185
0.0,651211705,0.0,255.66,42.494310344827596,50.06157580742989
0.0,364104825,0.0,54.35,24.361428571428576,16.784414823054778
0.0,359096274,0.0,83.5,40.443333333333335,28.00084617769018
0.0,62326679,0.0,131.18,65.284,62.261219988711744
1.0,10976951,0.0,179.19,74.35227990970654,67.63535597133675
1.0,294492610,0.0,182.11,79.4497181208053,69.53913404543415
1.0,32245113,0.0,522.23,94.62719696969688,77.06279162856644
1.0,702079448,0.0,537.41,50.49238281250001,70.31279918201055
1.0,363357735,0.0,232.64,24.773939393939397,45.917640022966566
1.0,651948533,0.0,903.76,138.2515254237288,181.05542854676756
1.0,300401270,0.0,107.46,58.52333333333333,54.36764693577729
1.0,767331322,0.0,143.71,64.99,56.1162485876912
1.0,250710950,0.0,148.09,53.08833333333334,53.0842605730572
