time_period,parse_lane_name(vehicle_lane),min(vehicle_CO),max(vehicle_CO),avg(vehicle_CO),stddev(vehicle_CO)
0.0,250691272,0.0,116.38,27.30461538461539,45.19224889576099
0.0,23216789,0.0,1167.25,91.79024875621893,135.71018087246736
0.0,51043103,0.0,154.51,13.466862745098037,32.95122592500594
0.0,97846023,0.0,150.71,82.98590909090909,57.06649842808141
0.0,250711286,0.0,102.02,28.321428571428573,37.809289611845145
0.0,359095357,0.0,0.0,0.0,0.0
0.0,844173360,45.22,70.02,57.62,17.536248173426376
0.0,264095736,0.0,165.52,40.35075,45.81700341525819
0.0,1548471274,0.0,183.9,83.09727272727274,73.92224416113314
0.0,250709640,0.0,0.0,0.0,
1.0,429282752,0.0,393.26,29.21635379061372,50.688160925740824
1.0,751068056,0.0,361.95,24.805338983050852,32.30117391679276
1.0,32015255,0.0,335.56,96.28526816608971,69.71933182256736
1.0,906980926,0.0,164.78,26.026438356164377,37.91484535442046
1.0,359095747,0.0,129.22,28.547142857142855,37.22703100386381
1.0,353770666,0.0,139.06,33.575121951219515,41.8338868694956
1.0,46938927,0.0,497.93,50.275051546391765,69.51617015830738
1.0,98303803,24.15,371.56,106.35368421052632,80.54077636759368
1.0,23216711,0.0,148.96,82.74166666666667,70.85791654195505
1.0,32296802,0.0,177.71,45.05453846153847,46.25737418876687
1.0,31619878,0.0,168.36,59.426034482758624,50.19954350598537
1.0,10976012,0.0,192.11,81.4359375,63.120078287053076
0.0,1303525247,0.0,611.05,108.66799999999998,116.7876390077306
0.0,250711641,0.0,149.56,47.23325581395349,47.8981391288266
0.0,250663731,0.0,476.1,94.98586206896552,113.80876122806191
0.0,7531962666,41.75,175.39,118.796,48.26879768546136
0.0,23183808,0.0,223.26,94.08289855072438,70.01754711156576
0.0,24219951,53.95,229.37,132.35714285714283,54.03158512582054
0.0,168725546,0.0,155.39,42.239999999999995,57.85840420234648
0.0,10971766,0.0,1121.05,100.48516139879099,72.82528205494029
0.0,693478102,0.0,235.53,84.94500000000001,83.7089967114335
0.0,284240113,0.0,246.82,54.171395348837194,61.887668849918356
0.0,51156902,0.0,351.37,64.61263157894736,101.33443775944774
0.0,225898496,0.0,164.78,63.14947368421052,64.32466310087396
0.0,6558555850,147.22,147.22,147.22,
0.0,168725561,0.0,1191.33,172.07149999999987,115.94246052421893
0.0,95663493,127.75,149.8,138.802,10.734070523338298
0.0,359096073,45.97,71.85,58.91,18.299923497107848
0.0,98350940,0.0,100.04,40.1,44.23946823821461
1.0,284175000,0.0,260.32,97.87163594470017,73.4238894479127
1.0,296181857,0.0,166.96,86.73637681159414,69.87164792094433
1.0,49747552,0.0,285.96,36.2411111111111,43.8491041580212
1.0,633560134,0.0,0.0,0.0,0.0
1.0,9685607731,0.0,155.04,38.76,77.52
1.0,790318519,131.09,131.09,131.09,
1.0,250706416,0.0,285.38,61.14666666666667,110.78012884388005
0.0,702087350,0.0,226.6,118.55875,72.97805891507953
0.0,355614988,0.0,657.14,145.33571428571426,231.44827232430308
0.0,359095451,0.0,342.35,125.78777777777773,61.42408951073041
0.0,650854059,0.0,663.46,121.91826086956522,129.79140042433735
0.0,355615320,0.0,0.0,0.0,
0.0,251136893,49.4,145.65,83.14,54.19225313640318
0.0,10976951,0.0,151.93,57.11105882352942,62.80072755158496
0.0,23216605,0.0,177.54,56.14898876404492,53.08005645516932
0.0,5728492,0.0,0.0,0.0,0.0
0.0,251110313,0.0,106.39,53.195,75.22909045043679
1.0,353768985,0.0,158.98,19.33684931506849,26.067584962336756
1.0,704278581,0.0,664.17,84.05787878787878,156.58888785122923
1.0,52493497,0.0,390.7,102.89532567049811,80.62879308423544
1.0,52493183,0.0,141.7,58.62285256410256,60.42281381611826
1.0,81783130,0.0,184.92,42.25185185185186,59.490720161028285
1.0,250663675,0.0,164.78,73.2044642857143,67.21898193995322
1.0,250700344,0.0,198.16,47.43475,51.50333416698821
1.0,736420840,0.0,317.32,213.4411111111111,89.04640313404641
1.0,7611788793,0.0,134.6,44.86666666666667,77.71134623292363
1.0,295059514,0.0,145.63,41.83117647058823,45.56940501618835
1.0,651939693,0.0,109.57,41.8625,47.15546371666102
1.0,250691582,0.0,104.15,34.71666666666667,60.13103053609953
0.0,168737311,0.0,1715.68,132.1962105263156,153.26471924013805
0.0,170644475,0.0,1539.9,128.47035714285713,209.60356937007847
0.0,31616815,0.0,101.09,26.378074074074068,23.49962370280803
0.0,972965170,0.0,229.62,95.46671875000008,75.76844321060865
0.0,651948530,0.0,251.72,40.077260273972584,55.617480072472475
0.0,881725972,0.0,0.0,0.0,0.0
0.0,636505057,0.0,175.97,51.34051282051282,53.77815536504517
0.0,223683296,0.0,263.09,56.55690476190477,61.63313313423169
0.0,98350968,0.0,164.78,77.94833333333334,85.52751941139569
0.0,98350932,0.0,484.08,63.81573170731708,112.20411464507511
0.0,207891571,0.0,187.4,50.15612903225807,59.56322202374098
0.0,1000830904,54.07,224.73,129.84142857142857,56.463439329821036
0.0,601294006,125.04,164.78,143.45749999999998,16.913931880750447
0.0,565176312,0.0,138.87,37.923333333333325,46.85345318116905
0.0,1040608909,30.71,30.71,30.71,
0.0,808000024,0.0,127.85,76.054,69.43870736124053
1.0,296181852,0.0,973.45,115.80819216182027,76.26120100601277
1.0,8484977587,0.0,164.78,71.82873239436623,72.16770282631536
1.0,653971685,0.0,134.08,42.737647058823526,47.048246849565466
1.0,9769867771,0.0,0.0,0.0,0.0
1.0,23217726,0.0,180.27,47.04780000000001,52.8021266690605
1.0,30481589,0.0,129.73,34.052173913043475,42.838067072567995
0.0,97834909,0.0,138.55,53.867777777777775,53.97518945890031
0.0,636742500,0.0,722.0,50.43595419847328,81.84167602782853
0.0,31619827,0.0,1661.1,153.46555555555554,238.86034925868253
0.0,704293239,0.0,732.94,79.83492277992269,84.11313223857705
0.0,31767666,0.0,180.81,66.49870967741936,61.94397241281487
0.0,909651171,31.65,117.26,72.985,47.369405386458745
