time_period,parse_lane_name(vehicle_lane),min(vehicle_fuel),max(vehicle_fuel),avg(vehicle_fuel),stddev(vehicle_fuel)
0.0,250713287,1630.87,3166.89,2398.88,1086.1301580381607
0.0,250714051,651.92,17073.28,2373.557962962963,2447.259240850049
0.0,44463540,0.0,8643.94,2803.4779166666667,2484.4499415713194
0.0,66868059,0.0,3359.92,1005.4728169014088,1007.7759724578574
0.0,966013902,0.0,7873.01,1923.0063888888892,2321.8564526591986
0.0,61093639,0.0,8563.78,1328.225514018689,1608.781594705847
0.0,23182767,0.0,18831.62,2823.7328378378365,3362.084790232097
0.0,49864483,0.0,3354.21,1512.1170000000002,1003.2640526910675
0.0,525503454,0.0,711.2,333.46833333333336,366.14195096528704
0.0,68612565,0.0,1315.37,356.625,520.2884203977635
0.0,52493437,0.0,9890.33,3080.980625,3204.1749026764332
0.0,617806824,0.0,0.0,0.0,
1.0,717120664,0.0,12432.02,2430.168153310103,2998.6533821752705
1.0,52493354,0.0,11100.32,1000.6815066964269,1390.0380204823332
1.0,909208929,0.0,3758.33,552.4459736842103,567.5799080002217
1.0,251144773,0.0,6360.01,1761.8649999999996,1899.0798953488456
1.0,251137589,0.0,6767.83,2222.9005555555555,1526.0424828697276
1.0,33878323,0.0,5929.42,1183.189642857143,1503.4641673100577
1.0,824855242,0.0,2442.53,500.13692307692315,716.4481164509779
1.0,803870833,0.0,7864.79,1954.966111111111,2594.519241666576
1.0,998311565,0.0,4458.06,1112.8306666666665,1176.3112101120341
0.0,250692063,0.0,14971.25,4598.205882352941,3458.512764545579
0.0,68612589,0.0,3343.95,1497.3787499999999,1283.8247378209658
0.0,8446047162,0.0,10970.01,2200.536853932583,1833.1859903030704
0.0,359095614,0.0,7737.8,1319.621111111111,2534.783452883325
0.0,8484977584,0.0,6865.26,1397.4347727272727,1753.6442604175156
0.0,734382122,644.78,14037.74,4800.819038461539,3207.9807402258257
0.0,790308477,0.0,12188.1,1667.7441739130436,2801.1066770621983
0.0,384593008,0.0,5999.33,2025.41875,1904.1960965602668
0.0,62330706,0.0,2648.76,947.7739999999999,813.0176136981585
0.0,95663501,4064.03,7848.44,5956.235,2675.9819737901817
0.0,234000634,2315.78,5330.69,3376.9588888888884,1174.4293087862338
0.0,242134,0.0,988.39,535.9936363636364,429.0048676477395
1.0,23216679,0.0,11933.71,1288.4621193415626,1629.2287978012737
1.0,250710162,0.0,1230.92,280.0475,521.9141582332154
1.0,8253823131,0.0,2296.06,1297.7566666666667,1176.9567133218338
1.0,250663757,0.0,9720.66,1073.9976923076922,2659.868259172353
1.0,250920978,0.0,13828.07,2968.853015873016,3128.3541301393793
1.0,601293993,0.0,1410.01,479.28818181818184,516.2326636279068
1.0,633562897,0.0,2113.87,982.3299999999999,1140.820781104552
0.0,655213200,0.0,8260.85,3584.4054545454546,2483.065617185191
0.0,651185404,0.0,7479.41,1469.9651999999999,1709.021420993085
0.0,10972563,0.0,6948.5,1463.597234042553,1820.0758435232765
0.0,300402610,752.91,7650.3,2357.641333333333,1689.5771740930813
0.0,219615781,0.0,3594.78,1501.4700000000003,1078.101592513433
0.0,584037841,0.0,834.5,402.32166666666666,441.0247512517485
1.0,23184216,0.0,11668.36,1954.495518518519,2663.1197161456535
1.0,32015189,0.0,11330.61,2161.1731395348843,2415.9642368660534
1.0,101357275,0.0,3057.33,755.3276666666666,756.1050148542911
1.0,95663492,0.0,8272.32,1626.9559090909095,1777.7097975888362
1.0,44463538,0.0,11731.18,1325.3384126984129,2676.093354424961
1.0,359094862,0.0,18735.03,3752.6565625000003,4525.856099227874
1.0,1016179784,0.0,12186.03,1714.4231343283584,2769.4317282290685
1.0,355613012,0.0,5921.65,1129.157,1884.567659373541
1.0,1118771576,0.0,14604.41,4559.178,5910.813370803548
1.0,7127124359,844.34,844.34,844.34,
1.0,650854054,0.0,0.0,0.0,0.0
1.0,11270494938,0.0,983.19,439.155,514.2723289269995
0.0,32015501,0.0,6996.51,1411.3066666666666,2412.947543861035
0.0,250713286,0.0,3264.72,1503.475,1247.8270913894903
0.0,767331322,0.0,8622.52,2120.1784615384613,2887.945391709725
0.0,31767638,0.0,5176.91,1451.9962686567164,1228.7892287037228
0.0,251144774,0.0,14827.28,6261.222857142857,4319.034445178856
0.0,23183369,0.0,11978.87,2105.746352067869,2354.624622118274
0.0,483384217,0.0,2185.75,861.2071428571428,917.0938684183185
0.0,355613297,0.0,2582.37,645.5925,1291.185
0.0,353767906,770.56,902.63,836.595,93.38759259130737
1.0,2511789008,0.0,6531.12,1577.4433333333334,1062.571844913509
1.0,250692063,0.0,15164.39,3699.3905555555557,3476.004956277857
1.0,824855120,0.0,6178.39,1049.0889823008852,1034.952243967627
1.0,250920416,1806.15,11001.83,5161.649333333333,3447.769801816959
1.0,97788769,0.0,11218.5,1392.2647500000003,2717.454284066188
1.0,807999996,0.0,7414.93,1894.304,2108.4164675299753
1.0,251136124,0.0,3470.31,724.4959999999998,797.4971485600943
1.0,1303525246,5621.56,8429.47,7025.514999999999,1985.4922019615178
1.0,901261053,0.0,3679.05,1751.9146875,1157.8312634737922
0.0,250712162,920.41,10421.42,3782.4399999999996,3677.3481825980452
0.0,250706436,0.0,1564.27,538.275,547.7229715251714
0.0,23184195,0.0,13176.18,1199.0831927710847,2613.564555533661
0.0,299500104,0.0,13320.41,1786.9614097744343,2354.379716852057
0.0,250712716,0.0,8861.8,2011.09375,1744.5054159250797
0.0,909645108,0.0,15418.46,3310.388070175439,3874.4856081210673
0.0,704135432,0.0,7191.11,1999.7903999999999,2412.397505466087
0.0,359095693,0.0,2111.25,882.5099999999999,767.6050864510047
1.0,250920320,0.0,12417.66,1305.159388217516,894.4155019192548
1.0,222942436,0.0,11646.52,1595.5289005235602,2075.5040439267523
1.0,250663596,0.0,10342.6,1406.8590624999997,1981.082933161477
1.0,327261700,0.0,4615.58,786.5764758497307,529.9618340436738
1.0,250921080,0.0,9521.35,2939.3683333333333,3588.5180045217367
1.0,651968870,0.0,8062.13,3885.65,3585.460046776889
1.0,101516440,0.0,4960.57,1549.624761904762,1261.7206794160863
1.0,363391934,0.0,8620.63,800.8373333333333,2332.9984416884963
1.0,355615343,0.0,0.0,0.0,
0.0,327261700,0.0,4884.2,1003.4608484848488,877.3178375694685
0.0,818127958,0.0,4358.0,871.6,1948.9568491888167
0.0,249601206,0.0,12086.05,1957.3345054944937,2268.3079793349034
0.0,23216663,0.0,10410.53,4101.897647058824,3424.341679177455
0.0,222897513,0.0,15185.28,1173.6369765101042,1280.1745738644663
0.0,917870261,0.0,6956.34,867.3565555555558,947.0036610920309
0.0,250711115,6443.91,7788.3,7116.105,950.6272855593828
0.0,601290886,0.0,2471.64,735.1422916666666,572.7000945759696
0.0,295024096,0.0,5170.46,869.0928723404255,1012.9111585193201
0.0,1303525246,1944.21,1944.21,1944.21,
0.0,482856909,0.0,1144.29,783.6949999999999,533.579569979961
1.0,972690968,0.0,11551.35,3721.811976047904,2579.6021838305046
1.0,353767804,0.0,18711.57,3857.097045454546,5517.151160738657
1.0,250663746,0.0,14174.54,3264.639090909091,4383.7526476838675
1.0,250700248,0.0,6669.36,1697.6217293233083,1036.4580883671483
1.0,31767637,0.0,12285.29,2216.4476836158187,2718.2857119126297
1.0,807999627,0.0,1190.53,580.071282051282,426.1581012104081
1.0,97846089,0.0,7041.16,2162.154285714286,2543.0634360606446
1.0,353769800,0.0,0.0,0.0,0.0
1.0,86547349,0.0,6251.98,3655.221764705883,1904.7169284904098
1.0,353771656,0.0,2772.97,763.1743749999999,926.0784872206658
1.0,678788074,0.0,1671.18,829.4333333333335,694.4248558932442
1.0,651939717,997.15,997.15,997.15,
0.0,251144770,0.0,20728.89,1621.2125714285712,3515.3488893182384
0.0,23182775,551.44,2749.72,1468.7314285714288,759.3672511248772
0.0,299658207,0.0,12464.36,937.7853903345725,1541.4667336853308
0.0,250704638,0.0,6110.55,1898.0531249999997,1347.6782159907402
0.0,31767621,0.0,13475.54,4437.477971014491,3410.1707045596704
0.0,251110754,0.0,2711.31,1725.1342857142856,1049.767991809891
0.0,3879024943,1204.99,6914.2,3045.005,2665.0293789812777
0.0,219617986,0.0,2967.18,628.6272727272727,969.9642848073419
1.0,741245823,0.0,18373.03,3631.9512396694213,3627.612266192626
1.0,359094908,0.0,11916.43,2290.691041666667,2835.4082341185726
1.0,651185403,0.0,1439.63,519.2772146118723,436.61254496533326
1.0,264095736,0.0,10629.32,1414.5641212121218,1944.220585276943
1.0,653974966,0.0,6602.79,2722.5358333333334,2188.4363800022666
1.0,2660166908,0.0,5085.36,820.4788461538462,1148.3871836565468
1.0,762793106,0.0,16209.32,1940.1060470085474,3076.025967107681
1.0,444374147,0.0,12815.05,1976.584669603524,2571.27930454814
1.0,51249544,0.0,11945.67,2059.275449438202,2361.698871043037
1.0,23216541,0.0,2724.17,817.1603977272731,762.8590154917118
1.0,377996994,0.0,11199.66,2244.124528301887,3228.3301098136017
1.0,10976008,0.0,1391.25,535.8208333333333,610.5478344964737
1.0,601294006,2135.4,7427.49,4962.553333333333,2664.574042362744
1.0,966013902,0.0,1391.61,528.8128571428572,560.7796687571943
0.0,1992372760,0.0,7025.4,3038.4423529411765,2127.866315689056
0.0,250712701,0.0,1799.22,899.61,1272.24066284646
0.0,359095613,0.0,8095.28,2400.1275,2446.5400270665177
0.0,917870258,0.0,5543.92,575.7169791666666,1106.5015387266583
0.0,31620199,0.0,3627.79,636.7696168582378,713.2184674831994
0.0,300401862,0.0,10011.95,2078.098461538462,2587.2141113494145
0.0,391433166,0.0,13947.24,4231.8460000000005,3909.488997462339
0.0,251110759,1896.3,1896.3,1896.3,
0.0,652688299,0.0,21485.89,4276.205555555555,5774.242643411415
0.0,632242186,2191.51,2191.51,2191.51,
1.0,97846073,0.0,13323.39,2654.3111203319495,2410.996320604303
1.0,250709317,0.0,17789.2,1400.2446666666665,3263.0350165454224
1.0,315709444,0.0,6977.41,835.0196389891698,1089.3621211336197
1.0,4458922832,0.0,15698.41,1824.1680000000001,3102.7382234219804
1.0,336341771,0.0,8139.45,2480.6063157894737,2186.496690786083
1.0,790308478,0.0,10587.8,3380.5199999999995,4174.870234432443
1.0,388172083,523.41,2152.86,1474.3166666666666,848.182270878927
0.0,101259304,0.0,10678.63,1687.3516249999998,2514.967432203982
0.0,741087756,0.0,18867.32,3800.690625,4101.03839856725
0.0,652688301,0.0,14624.4,5090.256923076924,3845.931509752361
0.0,250699359,0.0,9515.44,1769.3725925925921,2241.7956888341673
0.0,251136510,0.0,4091.1,2157.7404999999994,1437.7405987044028
0.0,167920360,0.0,12717.31,2910.256917293235,3396.58890833837
0.0,286067598,0.0,20024.79,3652.916808318265,4694.710668612085
0.0,11031665,0.0,1877.28,597.2492857142857,617.049225981255
0.0,32015537,0.0,4020.06,1202.4146511627905,1077.0453668106686
0.0,23183366,0.0,8682.28,1151.4943203883488,1332.4284091241989
0.0,90533474,0.0,12241.62,2886.390634920636,3352.305993779783
0.0,359096263,0.0,1422.23,237.03833333333333,580.6229661464199
0.0,66867998,0.0,2649.27,1181.3842857142856,982.4856345151167
1.0,97846101,0.0,14242.48,4537.7159999999985,3782.6120887440875
1.0,220516702,0.0,2512.18,912.5523684210524,870.4497213740635
1.0,361401015,0.0,9962.84,3074.985510204082,2490.96993314691
1.0,355614093,0.0,3202.41,640.482,1432.1612903650202
1.0,250663734,0.0,8665.15,2192.3750485436894,1856.324900678797
1.0,41806639,865.34,7634.89,4527.186363636364,2612.2986947677814
1.0,68612576,0.0,9327.77,1361.6174137931034,1915.8537552924117
1.0,51102924,0.0,12313.41,2138.8000854700863,2852.0859717208846
1.0,3894328960,0.0,2398.68,1006.3471428571427,792.7810495913791
1.0,250704638,0.0,18985.05,2413.244655172414,2816.623591266937
1.0,295081889,0.0,5589.04,2905.405625,1325.5597833920017
1.0,907181175,0.0,2787.04,747.7837333333333,790.2490425155128
1.0,634244587,0.0,1806.02,613.3194736842105,531.3263785980816
1.0,50005006,0.0,3003.63,1399.8145454545454,982.7684880516229
0.0,251144999,0.0,1699.55,676.24,718.854950563742
0.0,482987489,0.0,15651.94,1479.0986814932392,1558.227443601445
0.0,49748053,0.0,729.57,260.30999999999995,350.7035164098333
0.0,286070640,0.0,6785.36,1872.7136842105263,1572.2674533321872
0.0,359094241,0.0,15880.07,3606.5455263157883,3392.1551755360074
0.0,353767087,0.0,0.0,0.0,
0.0,664511607,0.0,3460.57,1103.63875,1162.9407887572595
0.0,916426355,0.0,1045.32,491.4647058823529,421.8024398124424
1.0,299498425,0.0,7450.09,1153.0662008733625,1335.0714889361363
1.0,169130600,0.0,12510.63,2370.403781512605,2527.25921340001
1.0,250711248,0.0,16977.92,1909.6735714285714,3587.585095013712
1.0,355614705,0.0,9830.95,1926.6733783783786,2112.4828702317745
1.0,300395140,0.0,8844.81,1621.1659090909095,2088.035858512695
1.0,98350968,0.0,7685.38,2075.3332499999997,2148.9332367185775
1.0,865301642,0.0,3957.33,1551.9524999999999,1922.7493085228243
1.0,687830215,0.0,15596.7,1407.0472727272727,3709.7578664884804
1.0,27790954,0.0,2758.9,1134.4385714285713,1188.4951409019807
1.0,1431401012,0.0,0.0,0.0,0.0
1.0,3458963093,1757.9,3574.84,2845.8825,803.4504222155423
1.0,23216612,0.0,11753.08,4151.461470588235,3871.3821119016816
1.0,636484888,0.0,2990.31,1606.546842105263,1154.0248708616514
1.0,807999990,0.0,2929.43,854.6261111111112,824.2044932442353
0.0,98350950,0.0,5538.23,1897.9609523809527,1970.2025991174226
0.0,359095352,0.0,8684.86,1957.4031578947374,2363.323277108489
0.0,250663596,0.0,7368.3,1481.6303773584903,1777.2925770308852
0.0,250700083,0.0,12724.82,2072.2467741935484,2521.3881301158785
0.0,7878279511,0.0,2968.51,1161.9914285714287,902.7189296126189
0.0,302575703,0.0,9485.88,1357.0903703703698,1754.2347896742858
0.0,250699984,0.0,0.0,0.0,
0.0,634348427,837.22,2713.48,1465.8125,845.7039339853713
1.0,741245822,0.0,8214.06,1060.5771192341165,1349.600668181026
