time_period,parse_lane_name(vehicle_lane),min(vehicle_fuel),max(vehicle_fuel),avg(vehicle_fuel),stddev(vehicle_fuel)
0.0,3731648988,0.0,11220.84,1590.9751785714284,1824.282740763405
0.0,250720872,0.0,17212.45,2670.5009375,3742.057176481992
0.0,298618900,0.0,14243.7,2712.6441666666674,3058.9439985894915
0.0,31616885,0.0,13456.38,3113.3483739837397,2637.0041619795247
0.0,97839383,0.0,0.0,0.0,0.0
0.0,251136499,0.0,3708.21,1890.636,1327.734200312698
0.0,215710661,0.0,6723.89,1205.8859459459459,1420.64200859928
0.0,2313405235,0.0,8101.92,3152.004545454545,2038.8214253453568
0.0,250920716,0.0,986.93,328.97666666666663,569.8043011713173
1.0,803347418,0.0,12490.2,1595.7743732590523,2326.7562589232757
1.0,98350942,0.0,8388.62,2072.263166666667,2082.7706132363664
1.0,636474443,0.0,2204.96,1345.4106666666664,577.1842600624253
1.0,662180435,0.0,13628.71,1876.0544166666664,2944.2671417596744
1.0,355615605,0.0,13281.98,4353.644736842105,4005.4288771690417
1.0,353792192,0.0,2982.38,707.5976404494381,835.6546814406579
1.0,815855463,0.0,5226.18,1246.2752000000003,1549.6510978218844
1.0,664238682,0.0,8303.03,1023.6314705882353,1284.9850446561409
1.0,1063011568,0.0,1142.99,114.299,361.4451742795856
1.0,251144999,8976.61,8976.61,8976.61,
1.0,4333980577,0.0,7956.15,1937.4279999999999,3396.1485703617263
1.0,250714051,0.0,16907.53,2776.530459770115,2891.86988610879
0.0,250692062,2225.34,7924.53,5003.4625,3019.0773637694347
0.0,280010749,0.0,5094.68,1101.4437362637366,1216.6265717015763
0.0,6734986719,1532.73,6762.13,3080.0125000000007,2059.3821647065324
0.0,250720871,0.0,5163.12,1911.8153846153841,1476.6374099533866
0.0,cluster_2605248062_304829075_304829200_304829608_,0.0,6332.31,1728.6045333333334,1712.685566507295
0.0,250920978,0.0,8366.13,3068.8433333333332,3248.45112347023
0.0,584037857,0.0,10163.28,2777.856,3029.779728398541
0.0,251136501,0.0,0.0,0.0,
0.0,101516440,0.0,3121.87,1347.0226315789473,883.8948733169705
0.0,767331320,0.0,1894.97,986.8599999999999,610.5013821114576
0.0,305143006,0.0,2043.98,874.6316666666667,971.9703839606774
0.0,815855463,0.0,2562.46,706.7623529411765,924.8835550322633
0.0,23183939,0.0,2176.44,969.2030769230769,697.5404952806757
0.0,353767292,0.0,883.8,336.26599999999996,461.46029816225797
1.0,284503674,0.0,12679.66,3490.9913402061857,3012.232643332378
1.0,250698926,0.0,7737.22,1799.1576351351353,1664.2547527784243
1.0,300402698,0.0,991.14,73.577,241.14542031291978
1.0,250692418,0.0,15500.57,4303.551190476191,3889.887266048625
1.0,722947722,0.0,21355.99,5858.192416666668,6259.408987530141
1.0,31767621,0.0,13690.28,3607.131021505376,3399.0929565353376
1.0,651948534,0.0,2601.88,411.299,834.3065565612625
1.0,97788219,0.0,8970.6,2341.738571428571,1970.3426748025072
1.0,68612565,0.0,3183.74,1069.545625,906.7041346224976
1.0,97834909,0.0,9267.66,2739.6607407407405,2807.7916937500436
1.0,98303804,0.0,12716.64,3227.54,4676.272466374412
1.0,286070638,0.0,11212.53,3019.308235294118,3246.5447433963463
1.0,250706417,0.0,8684.98,1823.6629999999998,2958.4540070263047
1.0,90533474,0.0,2748.01,1283.413703703704,884.6429143930081
1.0,290229784,0.0,909.47,586.522,406.6215438299681
1.0,7147508976,0.0,1641.48,547.16,947.7089198693868
1.0,61031974,0.0,4961.52,1932.8123076923075,1690.6276490609132
0.0,355614989,0.0,1759.68,921.9175,721.6092907926931
0.0,336342001,0.0,2360.23,1063.6266666666668,1197.238492796374
0.0,98350944,0.0,8353.1,1367.3448954703726,949.0053566733252
0.0,355615605,0.0,11693.47,7108.915,4367.876435892913
0.0,355613453,0.0,3216.65,627.4568421052631,761.0669991243481
0.0,52493488,0.0,7250.05,1468.336575342466,1941.6714539241548
0.0,250691570,0.0,9357.35,2647.0014285714287,3160.051870425698
0.0,97846089,0.0,0.0,0.0,0.0
0.0,633562902,0.0,2022.95,1017.616,724.252309095387
0.0,23217624,0.0,7150.31,2442.2859259259258,1816.8617764669414
0.0,250921486,0.0,0.0,0.0,0.0
0.0,353767798,0.0,1011.96,455.2025,532.1228241909945
0.0,2879225651,707.83,990.08,804.0300000000001,161.1553055285491
1.0,402402482,0.0,6022.79,1329.245892857143,1441.3119851098152
1.0,844627879,0.0,18197.79,2834.9554237288135,3542.7379491176525
1.0,299496933,0.0,12894.94,3692.616261682243,2823.334557579677
1.0,10741763,0.0,11370.96,2059.0494642857143,2720.8131326289567
1.0,175509069,0.0,10554.46,1659.416136363637,2240.624318034051
1.0,355612724,0.0,7681.94,3493.881666666667,2453.1959308245982
1.0,355614986,0.0,1396.83,642.3275,595.6666304414144
1.0,359096480,950.03,11518.48,3813.550967741936,2804.980102244761
1.0,31621981,0.0,3016.24,627.6119230769231,525.4914544151738
1.0,881725974,0.0,17444.51,2814.6359109311697,3743.6555951667697
1.0,824855132,2226.48,8718.87,4045.27,2470.688885357396
1.0,353771685,0.0,17369.31,2366.6322222222225,4031.5869437331357
1.0,661080035,0.0,6182.43,742.0723574144488,876.2668365211524
1.0,1040608909,7996.29,7996.29,7996.29,
1.0,807999459,0.0,3442.02,2025.02,1458.9372826136155
1.0,254731664,0.0,10480.41,2962.3919512195125,3307.5779188465235
1.0,251136547,0.0,0.0,0.0,
0.0,659981101,0.0,3200.47,711.5962499999999,748.9961905831461
0.0,365722346,0.0,2683.08,937.9873333333333,922.3818884548438
0.0,636746261,0.0,1056.02,518.0114705882352,420.95176428582363
0.0,881725975,0.0,10607.75,1406.8754098360646,1772.1547884091099
0.0,250707461,0.0,1729.7,288.28333333333336,706.1470680153438
0.0,260124786,0.0,15280.73,1308.9359014267136,1838.5739022617465
0.0,251136894,0.0,2188.75,1411.3733333333332,1224.3857523808963
0.0,224026849,0.0,3038.02,1282.075675675676,1007.0332964691125
0.0,820421379,0.0,4387.12,1831.69875,1234.026715020355
0.0,31767615,0.0,2981.74,947.474411764706,860.6728472263277
0.0,909129701,0.0,870.95,437.6644444444444,323.2303814204392
0.0,899624046,0.0,1049.1,635.6983333333333,391.04805121699053
1.0,881519850,0.0,11096.31,3031.929523809524,3185.6837382490353
1.0,168914464,0.0,12642.22,2207.4037434279717,2781.133784158176
1.0,516020524,0.0,15271.01,2562.242214765101,2110.7046525358014
1.0,784764127,0.0,13704.3,2235.254456521735,2654.1642545987743
1.0,359096233,0.0,3268.39,1672.96,1305.1561510737763
1.0,298298663,0.0,18034.73,4482.949413580246,3941.033562899022
1.0,32077250,0.0,5299.74,1913.6573333333333,1494.3757390126232
1.0,280005151,0.0,11912.96,1808.0981730769233,2279.0931350164597
1.0,23199927,0.0,17316.5,1390.1400811907918,2077.774321136799
1.0,250699030,0.0,14576.11,2456.847042253521,2719.754741265887
1.0,791288820,0.0,14869.49,4641.512191780821,4020.8840078465632
1.0,767329777,0.0,7224.61,3902.1708333333336,2506.7846839924728
1.0,767331346,0.0,3076.19,439.4557142857143,1162.6905322262548
1.0,250720834,0.0,3191.76,824.249,884.5578584275096
1.0,1137831808,0.0,0.0,0.0,0.0
1.0,48650461,0.0,7304.88,3158.420588235294,2165.5323824451075
1.0,883118289,0.0,4575.83,1334.3075000000001,1670.6642709882135
1.0,824855356,0.0,828.01,516.5366666666667,450.4868122746029
1.0,363382193,1365.48,1909.42,1637.45,384.6236625586107
0.0,353745420,0.0,6687.16,2009.7904761904765,2371.048603336668
0.0,188661337,0.0,12037.43,5621.9295,3690.4324165782145
0.0,688104223,0.0,17011.01,1906.4906192660544,2809.3403660663757
0.0,97788586,0.0,11398.74,2709.577333333333,3756.682329908868
0.0,251136461,0.0,2744.44,850.9766666666666,1125.735528330996
0.0,48650461,0.0,3413.39,1357.5592,1072.8386068429243
