time_period,parse_lane_name(vehicle_lane),min(vehicle_fuel),max(vehicle_fuel),avg(vehicle_fuel),stddev(vehicle_fuel)
0.0,764391082,0.0,7740.65,1317.5919999999999,2189.9157337804
0.0,224026880,0.0,13551.73,5394.802222222223,4764.949403837983
0.0,2561873107,0.0,3736.06,1260.0142857142857,1478.198847300966
0.0,916498505,0.0,8749.57,2113.193448275862,2572.0647151604485
0.0,221139568,837.22,837.22,837.22,0.0
0.0,622917481,0.0,9807.94,2890.3275000000003,4685.225756619596
0.0,97846101,0.0,12611.72,5475.917317073172,4087.7204694040815
0.0,250711117,0.0,1770.9,668.37,849.2866886982275
0.0,70794277,0.0,2907.88,1215.9810000000002,1330.625878278088
0.0,251144064,0.0,0.0,0.0,
1.0,717328985,0.0,9053.4,1772.617314487632,1881.5525761581505
1.0,734712546,0.0,9999.51,1305.2642307692292,1465.6599051514263
1.0,6693647596,0.0,10847.56,2202.5905761316876,2015.214322041821
1.0,355614703,0.0,11101.44,1253.8593103448275,2239.618240161433
1.0,250709640,0.0,2807.19,1990.312,1128.9578506835408
1.0,250708524,0.0,7450.43,1179.9154999999998,2120.849629207659
1.0,23199951,0.0,3741.33,1222.8036764705882,1068.9047629328863
1.0,251133630,0.0,8243.38,1097.8331914893618,1758.7587947595148
1.0,635132991,0.0,5006.79,2431.435,2141.340548235303
1.0,210103159,0.0,837.22,774.8322807017548,215.8293772621058
1.0,722762256,0.0,7460.99,1858.8862711864406,1993.0137308780932
1.0,962356671,2274.92,8650.76,4549.794,2875.145793352052
1.0,251136993,1420.89,1447.68,1434.285,18.943390667987583
0.0,299644700,0.0,15805.87,3118.6185081967196,3512.885756215054
0.0,601290889,0.0,14321.5,1602.512423747249,2103.2014162437663
0.0,632242187,662.19,3110.55,2311.984,958.6267523024798
0.0,250691384,0.0,11968.29,3463.4083333333333,4678.597984458236
0.0,598660848,0.0,1406.12,536.0161764705883,466.5090574067275
0.0,97846083,0.0,17021.03,8104.413199999999,6706.255959862974
0.0,651939695,0.0,3493.37,647.9175,1214.2066041746882
0.0,250921223,0.0,2297.86,1189.6557142857143,932.0684791876818
0.0,97839360,0.0,5429.55,2142.2466666666664,2890.219607232871
0.0,250920509,3365.25,4401.48,3883.365,732.7252598689358
0.0,251110531,0.0,5308.6,1281.5240000000001,2300.954155753652
0.0,818127954,0.0,0.0,0.0,0.0
0.0,8812084976,0.0,0.0,0.0,
1.0,10976435,0.0,16139.02,1208.2925291715544,1314.051596957905
1.0,601290886,0.0,8676.8,1306.7907120743032,1596.8084352153696
1.0,250691741,0.0,12536.18,2246.7478448275865,2299.7767144462587
1.0,8484924459,0.0,5772.26,1505.0186507936507,1279.8149373857789
1.0,98303811,0.0,12226.33,3688.195,3741.221305440487
1.0,86547345,0.0,10298.09,2089.2427777777775,2774.8725529445733
1.0,360079251,0.0,11429.07,924.4422000000003,1509.6023320083982
1.0,599116897,0.0,14922.33,1857.7655670103093,3190.140957648518
1.0,8330742371,0.0,10019.13,1529.0002777777777,2944.124327912884
1.0,250710205,0.0,5764.12,1543.5972727272726,1273.191179137271
1.0,23200007,0.0,4343.39,1274.9189999999999,1775.0863993335336
1.0,250691566,0.0,5556.03,1788.9283333333333,2265.6221092090063
1.0,251136601,788.27,12484.38,3802.468888888888,3300.425233083635
1.0,97789191,0.0,15657.97,7828.985,11071.856766615525
1.0,33878526,0.0,13236.42,4673.811739130435,4149.456542281869
1.0,359094927,0.0,2979.98,1332.4854545454543,1083.7198010405054
1.0,6415203291,2329.7,10370.6,5022.505,3628.2988407838366
1.0,251136544,0.0,2488.67,1479.2066666666667,1309.1461689335279
0.0,251144197,0.0,11786.64,4473.311428571428,4377.739887158017
0.0,10741758,0.0,10890.96,3736.378055555555,2902.5815652300053
0.0,881725969,0.0,2371.92,610.7131914893619,647.553815722193
0.0,2966514653,2892.38,3611.52,3251.95,508.5087706224937
0.0,355613602,0.0,2389.96,808.1700000000001,1137.0634161294613
0.0,68612576,0.0,6072.5,1148.6465853658538,1329.0394181938505
0.0,388172082,0.0,3341.55,762.7410000000001,1068.2759467941273
0.0,790318524,0.0,9546.0,2930.7152238805975,2590.362140480442
0.0,250710162,0.0,5691.68,910.8822222222223,1975.1329893565255
0.0,250921080,0.0,6291.66,1189.235,2522.3489174477822
0.0,2300286948,1145.61,3407.45,2189.1325,1100.074153390731
1.0,601290889,0.0,15307.52,904.4978185379441,608.9720035444471
1.0,298383050,0.0,17133.7,4223.02204724409,3521.0301936854703
1.0,419194293,0.0,3734.54,1596.0231395348771,406.7480095876756
1.0,250700084,0.0,21276.55,1971.9582113821134,2587.66555585672
1.0,97788213,0.0,8786.48,3499.7949999999996,2373.0732745218806
1.0,892605848,0.0,5913.18,2008.9264705882354,2280.5101662181346
1.0,54700033,0.0,5391.06,3035.813181818181,1269.181781052683
1.0,1062776770,2103.21,2103.21,2103.21,
0.0,97834824,519.99,9935.66,3200.01625,4046.098914245098
0.0,31767642,0.0,12264.83,2087.5812847222232,2810.2041369517724
0.0,677284299,0.0,7431.27,1899.2991891891897,1865.71725352569
0.0,650854063,0.0,1311.72,93.69428571428571,350.57191624136533
0.0,762793106,0.0,18039.56,1879.1068824940041,2932.3222860301194
0.0,2318403662,0.0,7464.47,1486.8075757575755,1401.5856857779822
0.0,97839384,0.0,8248.65,2915.7275,3225.9543110162435
0.0,250708783,0.0,7795.24,1961.395396825397,1489.4273551666736
0.0,651211705,0.0,2248.02,617.6639655172413,542.675947950523
0.0,364104825,0.0,5927.38,2494.0571428571425,2123.605330852183
0.0,359096274,0.0,10641.89,5676.213333333333,5094.231099000777
0.0,62326679,0.0,966.76,432.2136666666667,414.05264081026456
1.0,10976951,0.0,3480.05,496.0850564334087,563.5833065428226
1.0,294492610,0.0,3868.31,634.5635570469792,663.7787116097238
1.0,32245113,0.0,15608.74,1824.4051969696955,2729.124137733913
1.0,702079448,0.0,12217.83,2077.151367187499,2826.5558977201486
1.0,363357735,0.0,12115.84,950.7937121212123,1926.155141724826
1.0,651948533,0.0,8031.97,2985.8113559322037,2071.5817047404557
1.0,300401270,0.0,1525.42,769.4433333333333,762.7991593029802
1.0,767331322,0.0,7909.06,2410.947,2941.534646597664
1.0,250710950,0.0,5343.46,2085.0155555555557,1815.2438611357013
1.0,91502437,0.0,2344.7,768.3946153846155,878.1342963504632
1.0,359095451,0.0,15135.8,1844.3857692307695,1864.805596316489
1.0,51249283,0.0,11846.8,7254.674444444445,4183.837852457093
1.0,353767594,0.0,11282.01,3775.6510000000003,4119.087374578257
1.0,8212395770,0.0,0.0,0.0,0.0
1.0,7041322346,0.0,5225.57,2169.2974999999997,2607.4800015388423
0.0,43386416,0.0,7333.63,2026.522444444445,1621.6414808236684
0.0,42240105,0.0,12436.5,2043.9375789473688,2079.119769948032
0.0,7384248376,0.0,6599.51,2070.8005445544554,1462.4262883363092
0.0,909651169,0.0,23124.82,4838.148954545453,4355.089565293163
