time_period,parse_lane_name(vehicle_lane),min(vehicle_fuel),max(vehicle_fuel),avg(vehicle_fuel),stddev(vehicle_fuel)
1.0,32296802,0.0,11858.12,3002.9345384615376,3069.0249996355146
1.0,31619878,0.0,9955.42,3018.569655172414,2889.2642146637822
1.0,10976012,0.0,9903.61,2610.6303125000004,2781.17152854284
0.0,1303525247,0.0,9703.83,2551.6216,2354.5374685216484
0.0,250711641,0.0,4730.66,978.5862790697674,1113.2571069892235
0.0,250663731,0.0,8945.26,3097.974482758621,2010.875640749902
0.0,7531962666,2378.27,8825.97,4036.9620000000004,2715.941242390932
0.0,23183808,0.0,12280.81,2301.2719484702056,2752.5168543832347
0.0,24219951,2214.04,15972.86,5708.104999999999,4892.299523849464
0.0,168725546,0.0,8031.69,1766.8395,2644.415502873287
0.0,10971766,0.0,16471.82,1353.317205783494,1754.8582914489418
0.0,693478102,0.0,4786.84,1143.9320833333334,1491.911807184731
0.0,284240113,0.0,13968.34,2597.7231395348836,3002.1549461287505
0.0,51156902,0.0,3152.78,897.1373684210524,1187.7462316170352
0.0,225898496,0.0,2532.76,1119.534736842105,870.4321029642464
0.0,6558555850,2706.63,2706.63,2706.63,
0.0,168725561,0.0,9386.76,1182.6105000000007,1448.1927521705516
0.0,95663493,1146.08,1874.98,1333.5099999999998,305.1889796503144
0.0,359096073,1640.4,2045.44,1842.92,286.4065306517992
0.0,98350940,0.0,1737.81,796.924,798.052234712741
1.0,284175000,0.0,14454.14,1913.7690552995327,2507.0735024730666
1.0,296181857,0.0,12985.06,1733.259094202896,2294.080860284392
1.0,49747552,0.0,6259.2,931.9257671957672,1310.5307755013782
1.0,633560134,0.0,0.0,0.0,0.0
1.0,9685607731,0.0,2800.84,700.21,1400.42
1.0,790318519,1965.55,1965.55,1965.55,
1.0,250706416,0.0,6999.65,2338.8650000000002,2630.3522103227924
0.0,702087350,0.0,14683.47,1125.27525,2343.214061986707
0.0,355614988,0.0,5379.12,1912.0257142857142,1822.1515462666393
0.0,359095451,0.0,15726.76,2171.1399999999994,2415.9300347993226
0.0,650854059,0.0,9697.0,3976.3865217391312,2799.4074500453075
0.0,355615320,0.0,0.0,0.0,
0.0,251136893,1886.96,13316.89,5753.9766666666665,6550.23389500202
0.0,10976951,0.0,3515.71,767.1497647058824,894.171691634986
0.0,23216605,0.0,10238.58,2514.6174157303367,2494.682670365898
0.0,5728492,0.0,0.0,0.0,0.0
0.0,251110313,0.0,564.28,282.14,399.006214487945
1.0,353768985,0.0,10759.68,1434.5897260273973,2066.1484323272266
1.0,704278581,0.0,13153.34,3511.3409090909086,3849.9043093817313
1.0,52493497,0.0,11581.44,1636.4577777777777,1876.4295550341906
1.0,52493183,0.0,3530.57,740.3656410256409,817.7873074029867
1.0,81783130,0.0,12343.51,595.6071604938272,1460.89705815317
1.0,250663675,0.0,9511.38,1233.6006250000003,1559.2460705237484
1.0,250700344,0.0,15923.41,2089.0232499999997,3345.7607475096966
1.0,736420840,0.0,5932.98,4314.077777777778,1715.1528032202975
1.0,7611788793,0.0,779.95,259.98333333333335,450.30434245444866
1.0,295059514,0.0,2331.5,594.8347058823529,676.2252617852062
1.0,651939693,504.59,4736.18,2864.31,2068.6754121901286
1.0,250691582,0.0,715.51,238.50333333333333,413.09989110786915
0.0,168737311,0.0,16950.21,2375.3184210526256,3443.7710919980814
0.0,170644475,0.0,11588.6,2345.7962857142843,2697.5279192862026
0.0,31616815,0.0,7466.0,1583.4922222222226,1767.5481425112653
0.0,972965170,0.0,12961.5,1099.7565625000002,1542.7847287480774
0.0,651948530,0.0,11726.42,1917.4391780821913,2762.0403616452904
0.0,881725972,0.0,0.0,0.0,0.0
0.0,636505057,0.0,9155.14,2119.019230769231,2241.1040643061165
0.0,223683296,0.0,17360.56,4029.7090476190483,5155.377771760759
0.0,98350968,0.0,2600.48,791.0433333333334,1041.2747477139098
0.0,98350932,0.0,3964.69,905.0586585365852,1069.7177369440717
0.0,207891571,0.0,7905.46,2259.6048387096776,2116.614967623022
0.0,1000830904,1325.97,12879.56,4101.61,4059.594771821443
0.0,601294006,837.22,1582.07,1208.96,328.8339097477631
0.0,565176312,0.0,2224.4,646.4222222222221,762.5566372535515
0.0,1040608909,5218.9,5218.9,5218.9,
0.0,808000024,0.0,951.46,505.46399999999994,466.59847650844296
1.0,296181852,0.0,10555.58,1179.3284197218647,1467.1927106009844
1.0,8484977587,0.0,5996.58,1091.5732394366194,1291.29445617486
1.0,653971685,0.0,11245.7,1771.9823529411765,2625.155266737878
1.0,9769867771,0.0,0.0,0.0,0.0
1.0,23217726,0.0,3644.19,1112.1357999999998,966.1805729781402
1.0,30481589,0.0,2065.98,839.3208695652174,725.285884091815
0.0,97834909,0.0,6170.88,2203.873333333333,2280.0894912984036
0.0,636742500,0.0,10762.72,1608.767938931297,2170.5563313150556
0.0,31619827,0.0,12640.67,4519.357111111112,2890.8879950007044
0.0,704293239,0.0,18031.23,1911.891969111967,3406.604127384362
0.0,31767666,0.0,9321.92,2172.627741935484,2394.115066499116
0.0,909651171,1395.03,5814.12,3561.2775,2466.3287821425997
0.0,262646166,0.0,9363.79,2102.6156249999995,1904.7430878316736
0.0,482987486,0.0,9791.17,2414.0337735849057,2897.2382981744117
0.0,790318519,2228.64,6001.61,4715.393333333333,2154.0176116349035
0.0,1098886968,0.0,16537.87,5209.095166666668,3883.0728541765297
0.0,359094352,0.0,3141.95,1778.4739999999997,1131.0638793321975
0.0,51043106,0.0,2641.64,1448.6799999999998,1331.1874671885998
0.0,359095409,1601.63,2485.98,1968.5833333333333,460.97031144460186
0.0,363391934,0.0,720.5,360.25,509.4704358449075
0.0,881725981,2266.1,3798.71,2886.966666666667,806.6475558962123
1.0,353768003,0.0,6969.74,1112.3607352941178,1582.4150218256434
1.0,62326679,0.0,1020.83,511.8987692307692,413.2514450349346
1.0,49298623,0.0,2889.47,570.6728837209304,504.59675173337143
1.0,32295538,0.0,13584.3,2011.2556241787095,2377.1882820680707
1.0,1005854988,0.0,9001.02,2895.4249999999997,3480.870447808996
1.0,251134301,0.0,0.0,0.0,0.0
1.0,11031664,0.0,12237.93,2264.3727590511844,2900.496591673355
1.0,70689748,0.0,9929.81,2709.457837837838,2537.8222395666526
1.0,40560443,0.0,12886.01,1519.6467634854764,1969.982986069797
1.0,9487245296,0.0,4313.11,2142.76625,1736.255450477406
1.0,760071200,0.0,1057.8,415.01399999999995,447.7839006882176
1.0,763490835,0.0,3538.08,1423.0885714285712,1310.4007950939501
1.0,659981101,0.0,1964.57,802.5971212121215,533.0097681245632
1.0,844173322,0.0,7799.66,3224.0559999999996,3030.437644257014
0.0,482987487,0.0,10304.87,2219.0645378151225,2480.1986603016867
0.0,250711247,0.0,12242.4,2183.299,3661.582436450272
0.0,10976960,0.0,11645.63,2089.8161904761914,2477.2750242684383
0.0,52493739,0.0,15002.76,577.6294146341464,1858.213586508281
0.0,251136498,0.0,10372.03,1762.4614285714288,3866.4610293843157
0.0,249412140,0.0,4033.0,847.7560975609756,862.5431952281522
0.0,359095602,0.0,682.63,341.315,482.69230204137295
1.0,250920324,0.0,10298.81,1146.5791573452486,864.5620509482311
1.0,300401860,1398.9,6083.95,2526.8,1346.225728820208
1.0,250921223,0.0,4442.56,1681.707777777778,1433.0581229993586
1.0,353746355,7646.45,8808.75,8117.593333333334,611.5878699200417
1.0,251144771,0.0,4304.78,1530.9775,1741.8095213291426
1.0,336340433,0.0,2156.61,666.9081818181818,741.4959282533948
1.0,10972563,0.0,2350.76,664.6923076923077,799.8259805748775
0.0,23217626,0.0,12338.3,3712.856299212598,3501.144322962704
0.0,824837239,0.0,11098.44,2222.68875,2559.8758381631847
0.0,359094098,0.0,7975.28,2881.954,2234.1383454197726
0.0,359095285,0.0,12099.64,1701.9342857142856,3196.6757384851107
0.0,97834697,0.0,0.0,0.0,0.0
