time_period,parse_lane_name(vehicle_lane),min(vehicle_PMx),max(vehicle_PMx),avg(vehicle_PMx),stddev(vehicle_PMx)
0.0,250700084,0.0,7.21,0.5605172413793104,1.4892249513884297
0.0,2423075410,0.0,0.18,0.09,0.12727922061357855
0.0,43386253,0.28,0.55,0.3614285714285715,0.09227288721117226
0.0,359095747,0.0,4.79,0.8222222222222222,1.4353583506467096
0.0,32015189,0.0,5.01,0.48766949152542394,1.1201504804310685
0.0,251136575,0.0,0.02,0.006666666666666667,0.011547005383792516
0.0,250691827,0.0,3.32,0.8288888888888889,1.2651941905767985
0.0,760071200,0.0,2.6,0.9647058823529413,1.1439466642235707
0.0,115333519,0.0,0.27,0.06722222222222222,0.07535103036971544
0.0,722762256,0.0,4.21,0.7008064516129029,1.127865092483556
0.0,32296802,0.0,0.23,0.09,0.08668497975016039
0.0,207979568,0.11,1.93,0.4393750000000002,0.5119305779758294
0.0,23182850,0.0,5.23,3.3592307692307695,1.6745818460064468
1.0,7214467394,0.0,4.98,0.7023030303030299,1.329848415267535
1.0,2296239316,0.05,5.03,1.3382608695652174,2.011070841331492
1.0,297174816,0.0,4.44,0.843894736842105,1.4490909070472073
1.0,61072220,0.0,2.56,0.23204545454545453,0.6356340161893461
1.0,260124785,0.0,7.07,0.7042857142857143,1.6264146955511567
1.0,1303525313,0.0,3.67,0.2759459459459459,0.7829554388464386
1.0,2287255820,0.0,3.52,0.5783333333333334,1.2401673885065483
1.0,251137584,0.01,4.79,2.4,3.379970414071697
1.0,70794288,0.0,2.74,0.6325000000000001,1.1206396982676161
1.0,790308479,0.0,0.16,0.064,0.08763560920082658
0.0,760071189,0.0,4.23,0.3890322580645161,0.8572940840127978
0.0,2287625898,0.04,0.04,0.04,
0.0,243850918,0.0,5.48,0.29765957446808505,1.0736229051490493
0.0,250713506,0.0,4.31,0.9677777777777775,1.7162879841228407
0.0,250920248,0.0,4.95,0.7504444444444445,1.5621604439126133
0.0,807999572,0.0,0.0,0.0,
0.0,250663733,0.0,5.69,1.3975000000000002,2.5374720265875417
0.0,2696698093,0.0,0.08,0.01,0.02486326242032244
0.0,1458642387,0.0,2.58,0.665,1.276805910596177
0.0,250691566,0.0,3.77,0.5512499999999999,1.3019154844195642
0.0,650854044,4.89,4.89,4.89,
0.0,251109739,0.09,0.13,0.10333333333333333,0.023094010767585035
1.0,243527763,0.0,5.58,0.5865351299326249,0.8709722216846664
1.0,972302159,0.0,5.66,0.5927049794084523,0.9201795015747922
1.0,601303883,0.0,5.92,0.4060539940828304,0.7692345810091085
1.0,10741758,0.0,5.2,0.8707058823529411,1.5199663560861576
1.0,32357772,0.0,5.96,0.37881971465628844,0.955165556683931
1.0,304829528,0.0,3.94,0.2936170212765957,0.870797798952489
1.0,359094540,0.0,7.07,0.7593548387096775,1.7505407791783563
1.0,98303808,0.0,4.08,0.48777777777777775,1.3477553355280938
1.0,360079224,0.0,4.32,1.309086294416241,1.0027768964155024
1.0,251136572,0.0,5.05,1.6933333333333334,2.9069973053536415
1.0,23217747,0.0,5.59,1.3136363636363637,1.8280614744063601
1.0,48820562,0.0,2.05,0.36833333333333335,0.7575418780303151
1.0,251145095,0.14,0.14,0.14,
1.0,10971776,0.0,5.47,1.9977777777777783,1.8676566791165115
1.0,188660572,0.0,0.06,0.02333333333333333,0.03214550253664318
0.0,250712038,0.0,2.74,0.8228,1.1467327500337643
0.0,207979572,0.0,8.47,0.5759824046920804,1.4649121594770147
0.0,359095744,0.0,4.63,0.8747787610619462,1.3329579736604147
0.0,250691665,0.0,5.96,1.1454918032786876,1.67618866295431
0.0,353747408,0.0,2.23,0.13999999999999996,0.4810778496625026
0.0,86219664,0.0,3.79,0.6441269841269841,1.248194353818857
0.0,221666914,0.0,0.08,0.017916666666666668,0.026206399262753376
0.0,250691739,0.0,5.79,1.1364814814814814,1.7673187851459733
0.0,907519287,0.0,0.26,0.07862068965517242,0.08122825590058085
0.0,359096483,0.0,2.71,0.754375,1.0390634805759784
1.0,68524671,0.0,5.43,0.9337109375000001,1.5263001203209237
1.0,280010748,0.0,8.34,0.811137566137566,1.7900021567245137
1.0,cluster_1005855035_2251695181_250663594_250664454_,0.0,4.61,0.5569462365591398,1.174151072323211
1.0,31767642,0.0,5.38,1.264973262032085,1.75669361173706
1.0,251136321,0.0,5.54,0.5450943396226415,1.1363971851618806
1.0,98198128,0.0,5.2,0.38897590361445805,0.9961503723697004
1.0,250921396,0.0,4.01,0.9598666666666666,1.2840176530458347
1.0,10134034290,0.0,6.14,0.8707627118644068,1.52869205967015
1.0,cluster_2113408277_212986801_6281867407_6356544243_,0.0,2.56,0.16953488372093026,0.3784111740042776
1.0,353768850,0.09,0.19,0.13833333333333334,0.03763863263545405
1.0,901645779,0.0,2.66,0.4955725190839694,0.8907154948564955
1.0,6558555857,0.0,4.71,2.355,3.3304729393886388
1.0,224026880,0.0,0.32,0.10866666666666668,0.12833364254755575
1.0,7519494083,0.0,0.0,0.0,0.0
1.0,207979568,0.15,0.28,0.18333333333333338,0.047434164902525694
0.0,224025730,0.0,5.57,1.7272727272727273,2.4417128861071724
0.0,95663490,0.0,3.15,0.6605263157894739,1.1066339035522217
0.0,101404643,0.0,3.95,1.7929347826086954,1.316703791602664
0.0,166100612,0.02,4.25,0.7658333333333334,1.3369333245475312
0.0,359095610,0.0,3.98,1.5544444444444445,1.8587570518434564
0.0,704278582,0.0,5.61,0.793957219251338,1.4948484759310294
0.0,250700341,0.0,0.2,0.07571428571428572,0.08695921320886454
0.0,892627320,0.0,0.09,0.022142857142857148,0.024699249179942897
0.0,2251695437,0.0,0.21,0.03388888888888889,0.061082286725645654
0.0,359095219,0.0,3.94,1.67,1.9424533456430813
0.0,359094863,0.0,0.41,0.17,0.21377558326431947
1.0,715534866,0.0,7.68,0.9443333333333329,1.8858122003095812
1.0,304829465,0.0,5.02,1.213939393939394,1.702501724290499
1.0,824855226,0.0,4.79,0.6614285714285713,1.501013766773086
1.0,599115094,0.13,5.3,2.0387500000000003,2.106815047140385
1.0,250713331,0.0,0.0,0.0,0.0
1.0,251136666,0.0,5.47,1.595,2.194338169015888
1.0,95663502,0.0,4.14,0.7632142857142857,1.3862206910275163
1.0,847943121,0.0,0.14,0.06888888888888889,0.04567396535348241
1.0,353745422,0.0,0.04,0.02,0.0282842712474619
1.0,251144942,0.11,0.14,0.125,0.012909944487358065
1.0,353767238,0.0,2.19,0.40863636363636363,0.835898692053423
1.0,250706959,0.0,5.94,0.4453333333333332,1.1292670827329312
0.0,717094465,0.0,4.56,0.7565432098765431,1.4059757825917798
0.0,651939717,0.0,0.39,0.195,0.27577164466275356
0.0,32015470,0.0,5.03,0.7329752066115703,1.5002375615371162
0.0,844627879,0.0,5.83,0.6899999999999998,1.3375743953731676
0.0,250711640,0.0,3.5,0.4262499999999999,0.9260486645054125
0.0,336340899,0.0,0.09,0.022857142857142857,0.03251373336211726
0.0,97797191,0.0,6.73,1.8737499999999998,2.611381339444701
0.0,97839372,0.0,3.92,0.7899999999999999,1.7497714136423648
0.0,250711246,0.0,0.15,0.052000000000000005,0.06099180272790762
0.0,790313138,0.0,2.47,0.6839999999999999,1.058638538669151
0.0,844173290,0.25,4.38,2.315,2.920351006300441
0.0,95663389,0.1,3.48,1.3633333333333333,1.8445143895706893
0.0,98350957,0.0,1.04,0.17454545454545453,0.2975017188644004
1.0,cluster,0.0,8.53,0.7137401533452523,1.311771907419303
1.0,51249737,0.0,4.1,0.41085714285714275,1.1056602271109899
1.0,299500105,0.0,0.17,0.041505376344086006,0.03305838362194131
1.0,286070639,0.0,6.14,0.8133333333333335,1.601185508008332
1.0,300401175,0.0,3.68,0.7071698113207547,1.1408589499524042
1.0,97788192,0.0,5.4,0.9691666666666666,1.65182617431282
1.0,32357785,0.0,3.66,0.15797752808988783,0.5514709242409076
1.0,651948525,0.0,4.1,0.7836363636363636,1.2819170658183638
1.0,7772846303,0.0,0.13,0.065,0.09192388155425119
1.0,359095416,0.0,4.79,0.40653846153846157,1.2159603358915696
1.0,251137125,0.06,4.71,2.02,2.2702863255545545
1.0,355613297,0.0,0.04,0.0036363636363636364,0.012060453783110546
1.0,962356556,0.0,2.93,0.2690909090909091,0.882546934111207
1.0,251137014,0.0,3.65,0.6549999999999999,1.4715128269913247
1.0,23199931,0.0,0.19,0.06100000000000001,0.0714065045278712
0.0,565056731,0.21,4.15,2.18,2.7860007178749977
0.0,250699976,0.0,3.88,0.20046874999999997,0.6847950213240155
0.0,101356593,0.0,4.24,0.4419948849104861,0.9713369638851733
0.0,760071188,0.0,4.43,0.2804545454545454,0.9973825151900174
0.0,52493741,0.0,9.06,1.0673137697516928,2.0886377076276275
0.0,250920320,0.0,6.18,1.254,1.8963849701619608
0.0,449488830,0.0,2.63,1.8516666666666666,0.9395832409460412
0.0,749907669,0.0,4.01,0.5447826086956521,1.190992212649976
0.0,355613926,0.0,3.63,0.8349999999999999,1.5181755968454842
0.0,250691695,0.0,3.61,0.43,1.192885157925942
0.0,251109743,0.5,0.5,0.5,
0.0,80404724,0.0,1.26,0.11456647398843933,0.187317236283815
0.0,23184213,0.0,0.22,0.04462264150943395,0.055208255564542015
0.0,2046110790,0.04,0.04,0.04,
0.0,912263020,0.0,0.04,0.013333333333333334,0.023094010767585032
0.0,251137584,0.0,0.0,0.0,0.0
1.0,250698924,0.0,5.38,0.7969999999999999,1.2998384128411835
1.0,704278582,0.0,5.52,0.5534188034188032,1.3065810318055258
1.0,294492611,0.0,3.17,0.3554166666666667,0.8951753734745849
1.0,250699982,0.0,5.19,0.40798780487804875,1.081941098086059
1.0,525503454,0.0,2.47,0.10210526315789474,0.40057497793112784
1.0,634256870,0.0,6.14,0.9191705069124423,1.5276735075901515
1.0,954712405,0.0,2.01,0.3852631578947366,0.7252758920695108
1.0,250711641,0.0,3.42,0.4453125,0.9863487061690153
1.0,251134800,0.0,3.01,0.6812499999999999,1.170646189076785
1.0,6356544245,0.0,2.41,0.39857142857142863,0.8878518752477536
1.0,251136507,0.0,4.22,0.844,1.8872413730098225
1.0,98350950,0.0,3.89,0.47571428571428565,1.1405550027445912
1.0,6558555850,0.16,3.77,2.077142857142857,1.2282469117365922
1.0,388172055,0.0,0.02,0.01,0.011547005383792516
0.0,4461253788,0.0,2.4,0.2826666666666666,0.643622190271221
0.0,23183960,0.0,4.58,0.5085517241379313,1.246713445707879
0.0,251136574,0.0,2.76,1.1422222222222222,1.212051749903627
0.0,24220216,0.0,6.53,0.6057792207792212,1.308218757299796
0.0,892605848,0.0,4.0,0.5116,1.1764908272768926
0.0,2372547252,0.0,5.31,0.7657142857142857,2.0039282850013795
0.0,660260256,0.0,0.19,0.07052631578947371,0.0491566299598116
0.0,702079447,0.0,2.01,0.6406249999999998,0.9376529982681707
0.0,250699930,0.04,0.1,0.07,0.042426406871192854
1.0,704293239,0.0,7.91,0.5533421750663126,1.1293574038417837
