time_period,parse_lane_name(vehicle_lane),min(vehicle_PMx),max(vehicle_PMx),avg(vehicle_PMx),stddev(vehicle_PMx)
0.0,702087350,0.0,6.35,0.22425,0.9953504407996211
0.0,355614988,0.0,1.06,0.2185714285714286,0.3761395384441157
0.0,359095451,0.0,6.88,0.4608888888888888,1.2235433309974286
0.0,650854059,0.0,4.78,1.2591304347826087,1.8311941286381666
0.0,355615320,0.0,0.0,0.0,
0.0,251136893,0.11,5.92,2.0566666666666666,3.345778434584892
0.0,10976951,0.0,2.64,0.44682352941176473,0.8521306793431809
0.0,23216605,0.0,4.92,1.0057303370786517,1.5040860163692058
0.0,5728492,0.0,0.0,0.0,0.0
0.0,251110313,0.0,0.11,0.055,0.07778174593052023
1.0,353768985,0.0,5.16,0.46068493150684925,1.1336033119206934
1.0,704278581,0.0,5.99,1.483030303030303,1.9794798635760433
1.0,52493497,0.0,5.43,0.26770114942528744,0.7850669268129925
1.0,52493183,0.0,2.64,0.3728525641025638,0.7933440178159391
1.0,81783130,0.0,5.68,0.12469135802469135,0.6770784415777706
1.0,250663675,0.0,4.71,0.5885714285714284,1.0768814310190404
1.0,250700344,0.0,6.8,0.7422500000000001,1.6557945624114705
1.0,736420840,0.0,0.45,0.3133333333333333,0.12757350822173075
1.0,7611788793,0.0,0.05,0.016666666666666666,0.02886751345948129
1.0,295059514,0.0,0.15,0.03,0.040155946010522525
1.0,651939693,0.0,3.04,1.53,1.7040148669148005
1.0,250691582,0.0,0.12,0.04,0.06928203230275509
0.0,168737311,0.0,7.21,0.6004210526315766,1.552146343871822
0.0,170644475,0.0,5.27,0.6358571428571415,1.198327362891146
0.0,31616815,0.0,3.97,0.848074074074074,1.22327581755521
0.0,972965170,0.0,5.91,0.4393749999999996,0.937074440934872
0.0,651948530,0.0,5.45,0.894931506849315,1.5457918891907718
0.0,881725972,0.0,0.0,0.0,0.0
0.0,636505057,0.0,4.58,0.847948717948718,1.4131137315706672
0.0,223683296,0.0,7.45,1.5133333333333334,2.446690813110506
0.0,98350968,0.0,0.17,0.055,0.06892024376045111
0.0,98350932,0.0,0.76,0.10182926829268295,0.18123123520594564
0.0,207891571,0.0,4.16,1.0083870967741937,1.437743826913528
0.0,1000830904,0.08,5.85,0.9857142857142857,2.1469579808250954
0.0,601294006,0.07,0.1,0.0825,0.014999999999999996
0.0,565176312,0.0,0.14,0.030000000000000002,0.04636809247747852
0.0,1040608909,3.21,3.21,3.21,
0.0,808000024,0.0,0.06,0.032,0.02949576240750525
1.0,296181852,0.0,5.07,0.4058280657395693,0.9305826625938066
1.0,8484977587,0.0,3.51,0.6435211267605634,1.0416663828302763
1.0,653971685,0.0,5.32,0.37058823529411766,1.2771230881762892
1.0,9769867771,0.0,0.0,0.0,0.0
1.0,23217726,0.0,0.25,0.0594,0.06485179336025193
1.0,30481589,0.0,0.13,0.03869565217391304,0.04615235124770676
0.0,97834909,0.0,3.52,0.9549999999999998,1.4934336669725436
0.0,636742500,0.0,5.12,0.4111450381679389,1.1138351219108307
0.0,31619827,0.0,5.59,1.1639999999999997,1.756755014741151
0.0,704293239,0.0,7.69,0.6642277992277984,1.5757108500663475
0.0,31767666,0.0,4.66,0.6622580645161291,1.371939526552147
0.0,909651171,0.09,3.4,1.7249999999999999,1.8882178546626094
0.0,262646166,0.0,4.62,0.7229687499999997,1.2704659816526576
0.0,482987486,0.0,4.77,0.849433962264151,1.5933351753890563
0.0,790318519,0.14,1.21,0.8500000000000001,0.6148983655857283
0.0,1098886968,0.0,7.14,1.9803749999999989,2.2433649880626363
0.0,359094352,0.0,0.21,0.10999999999999999,0.07582875444051551
