timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
3.00;20.17;5286.11;4.85;60.75;2.01;55.51;HBEFA3/Bus;0.00;1671.11;bus1;571469975#2_0;67.11;2.49;!bus1!var#1;0.00;bus_bus;0.00;23.737088;37.982939
3.00;932.58;23228.96;4.24;4.66;1.51;239.25;HBEFA3/LDV_G_EU6;0.00;7409.97;motorcycle0;48651788#0_0;86.81;28.51;!motorcycle0!var#1;14.18;motorcycle_motorcycle;0.00;23.714509;37.989707
3.00;106.19;4236.21;0.58;1.80;0.08;188.58;HBEFA3/PC_G_EU4;0.00;1351.18;veh0;49292938#4_0;64.40;18.13;!veh0!var#1;6.06;veh_passenger;0.00;23.722792;37.988756
3.00;46.65;4412.88;0.33;1.31;0.09;258.92;HBEFA3/PC_G_EU4;0.00;1407.52;veh1;170644473_1;73.59;65.08;!veh1!var#1;29.90;veh_passenger;0.00;23.749239;37.975051
3.00;147.84;3432.54;0.75;1.53;0.08;76.84;HBEFA3/PC_G_EU4;0.00;1094.86;veh2;61072226#0_0;65.47;7.09;!veh2!var#1;1.99;veh_passenger;0.00;23.737036;37.988901
3.00;148.89;3655.34;0.76;1.63;0.08;189.36;HBEFA3/PC_G_EU4;0.00;1165.92;veh3;260124785#3_1;66.54;7.32;!veh3!var#1;2.22;veh_passenger;0.00;23.730458;37.988525
3.00;0.00;2287.17;0.03;0.69;0.01;291.65;HBEFA3/PC_G_EU4;0.00;729.51;veh4;1033862865#0_0;64.15;5.10;!veh4!var#1;13.29;veh_passenger;0.00;23.712245;37.971892
3.00;80.73;5911.72;0.52;2.01;0.13;5.25;HBEFA3/PC_G_EU4;0.00;1885.58;veh5;-173493700#2_0;74.05;5.10;!veh5!var#1;30.33;veh_passenger;0.00;23.747601;37.971553
4.00;25.39;11198.17;5.61;99.70;2.61;345.50;HBEFA3/Bus;0.00;3542.52;bus0;44463548_0;72.37;20.32;!bus0!var#1;3.28;bus_bus;0.00;23.718873;37.986032
4.00;21.13;6388.22;4.99;67.99;2.12;55.49;HBEFA3/Bus;0.00;2019.98;bus1;741245822#0_0;70.94;0.37;!bus1!var#1;0.64;bus_bus;0.00;23.737094;37.982943
4.00;0.00;0.00;0.00;0.00;0.00;239.25;HBEFA3/LDV_G_EU6;0.00;0.00;motorcycle0;48651788#0_0;62.40;41.78;!motorcycle0!var#1;13.27;motorcycle_motorcycle;0.00;23.714377;37.989649
4.00;102.10;4868.07;0.58;2.06;0.09;188.58;HBEFA3/PC_G_EU4;0.00;1552.70;veh0;49292938#4_0;65.47;25.61;!veh0!var#1;7.48;veh_passenger;0.00;23.722777;37.988690
4.00;0.00;0.00;0.00;0.00;0.00;258.92;HBEFA3/PC_G_EU4;0.00;0.00;veh1;170644473_1;72.35;94.06;!veh1!var#1;28.98;veh_passenger;0.00;23.748914;37.975008
4.00;133.29;4094.10;0.70;1.79;0.09;76.84;HBEFA3/PC_G_EU4;0.00;1305.86;veh2;61072226#0_0;65.61;10.93;!veh2!var#1;3.84;veh_passenger;0.00;23.737079;37.988908
4.00;145.33;5286.80;0.79;2.33;0.11;189.37;HBEFA3/PC_G_EU4;0.00;1686.26;veh3;260124785#3_1;68.89;12.05;!veh3!var#1;4.73;veh_passenger;0.00;23.730447;37.988483
4.00;0.00;1638.39;0.00;0.39;0.00;291.65;HBEFA3/PC_G_EU4;0.00;522.59;veh4;1033862865#0_0;63.59;18.21;!veh4!var#1;13.11;veh_passenger;0.00;23.712108;37.971939
4.00;0.00;0.00;0.00;0.00;0.00;5.25;HBEFA3/PC_G_EU4;0.00;0.00;veh5;-173493700#2_0;72.19;34.19;!veh5!var#1;29.09;veh_passenger;0.00;23.747641;37.971813
4.00;164.78;2624.72;0.81;1.20;0.07;77.10;HBEFA3/PC_G_EU4;0.00;837.22;veh6;50033135#1_0;55.94;5.10;!veh6!var#1;0.00;veh_passenger;0.00;23.736445;37.989810
4.00;14.14;2131.70;0.11;0.69;0.01;291.65;HBEFA3/PC_G_EU4;0.00;679.93;veh7;1033862865#0_0;62.22;5.10;!veh7!var#1;10.61;veh_passenger;0.00;23.712245;37.971892
5.00;28.88;14602.79;6.05;123.09;3.00;339.18;HBEFA3/Bus;0.00;4620.06;bus0;44463548_0;74.10;24.51;!bus0!var#1;4.20;bus_bus;0.00;23.718850;37.986065
5.00;22.77;8144.45;5.22;79.74;2.31;55.47;HBEFA3/Bus;0.00;2575.87;bus1;741245822#0_0;72.12;1.80;!bus1!var#1;1.43;bus_bus;0.00;23.737108;37.982949
5.00;20.17;5286.11;4.85;60.75;2.01;126.34;HBEFA3/Bus;0.00;1671.11;bus2;734712582#2_0;67.11;5.14;!bus2!var#1;0.00;bus_bus;0.00;23.713364;37.977221
5.00;0.00;0.00;0.00;0.00;0.00;239.25;HBEFA3/LDV_G_EU6;0.00;0.00;motorcycle0;48651788#0_0;62.54;54.49;!motorcycle0!var#1;12.72;motorcycle_motorcycle;0.00;23.714251;37.989593
5.00;45.72;2143.83;0.25;0.77;0.02;188.58;HBEFA3/PC_G_EU4;0.00;683.81;veh0;49292938#4_0;60.08;33.12;!veh0!var#1;7.51;veh_passenger;0.00;23.722762;37.988623
5.00;0.00;0.00;0.00;0.00;0.00;258.92;HBEFA3/PC_G_EU4;0.00;0.00;veh1;170644473_1;69.16;118.53;!veh1!var#1;24.48;veh_passenger;0.00;23.748640;37.974972
5.00;145.82;6361.74;0.82;2.79;0.13;76.85;HBEFA3/PC_G_EU4;0.00;2029.11;veh2;61072226#0_0;69.76;17.33;!veh2!var#1;6.39;veh_passenger;0.00;23.737150;37.988919
5.00;138.66;6411.16;0.78;2.80;0.13;189.37;HBEFA3/PC_G_EU4;0.00;2044.86;veh3;260124785#3_1;69.16;19.12;!veh3!var#1;7.07;veh_passenger;0.00;23.730432;37.988421
5.00;0.00;0.00;0.00;0.00;0.00;291.65;HBEFA3/PC_G_EU4;0.00;0.00;veh4;1033862865#0_0;55.52;27.06;!veh4!var#1;8.85;veh_passenger;0.00;23.712015;37.971971
