time_period,parse_lane_name(vehicle_lane),min(vehicle_NOx),max(vehicle_NOx),avg(vehicle_NOx),stddev(vehicle_NOx)
0.0,250691272,0.0,143.91,11.51923076923077,39.78601836942606
0.0,23216789,0.0,420.9,63.01323383084573,105.13570087743767
0.0,51043103,0.0,104.23,2.6315686274509806,14.542251183712793
0.0,97846023,0.0,135.46,29.011363636363647,46.08946108826267
0.0,250711286,0.0,104.86,15.652857142857142,39.34153264015258
0.0,359095357,0.0,0.0,0.0,0.0
0.0,844173360,2.54,239.59,121.065,167.6196624802711
0.0,264095736,0.0,282.7,55.97066666666668,82.36354969814955
0.0,1548471274,0.0,190.87,19.763636363636365,56.78440970420091
0.0,250709640,0.0,0.0,0.0,
1.0,429282752,0.0,275.69,10.651299638989165,43.108358075737215
1.0,751068056,0.0,241.63,18.794533898305087,42.65070760029243
1.0,32015255,0.0,375.88,25.367975778546658,55.34359367723258
1.0,906980926,0.0,267.53,17.816027397260275,53.11064628939301
1.0,359095747,0.0,223.63,54.537142857142854,90.29609280486159
1.0,353770666,0.0,151.01,25.451463414634148,46.18009152010071
1.0,46938927,0.0,273.19,20.220371134020613,57.892365522686916
1.0,98303803,1.22,203.41,58.49368421052632,77.51752118861948
1.0,23216711,0.0,4.07,1.9966666666666668,1.8942720677523244
1.0,32296802,0.0,277.24,61.548692307692306,80.92364008516468
1.0,31619878,0.0,236.72,54.503103448275866,80.77094801245815
1.0,10976012,0.0,236.29,36.832499999999996,75.1496900600996
0.0,1303525247,0.0,232.23,29.510400000000004,66.27864163765982
0.0,250711641,0.0,124.73,13.193953488372092,32.02597310067883
0.0,250663731,0.0,214.02,61.23000000000001,64.10532644462103
0.0,7531962666,3.2,212.88,45.64,93.49223898270915
0.0,23183808,0.0,287.68,35.29315619967803,71.29716867895416
0.0,24219951,2.93,366.68,75.2957142857143,141.4556823621005
0.0,168725546,0.0,193.85,27.609499999999997,65.3928399810673
0.0,10971766,0.0,377.25,22.371381977134376,47.720253624577175
0.0,693478102,0.0,6.57,1.5599999999999998,2.02113614196269
0.0,284240113,0.0,323.02,37.09151162790698,77.2047581361704
0.0,51156902,0.0,3.51,0.9047368421052632,1.2427942013465403
0.0,225898496,0.0,3.43,1.4289473684210523,1.200082843144321
0.0,6558555850,3.69,3.69,3.69,
0.0,168725561,0.0,9.52,1.4562857142857129,1.6906651634071361
0.0,95663493,1.6,2.58,1.8399999999999999,0.4167133307202927
0.0,359096073,2.0,2.6,2.3,0.42426406871192857
0.0,98350940,0.0,2.3,1.0059999999999998,1.0431107323769608
1.0,284175000,0.0,333.65,34.44845622119821,64.34730054157428
1.0,296181857,0.0,302.72,27.353043478260844,60.38131572066065
1.0,49747552,0.0,156.55,13.368148148148146,35.60589588189578
1.0,633560134,0.0,0.0,0.0,0.0
1.0,9685607731,0.0,3.84,0.96,1.9200000000000002
1.0,790318519,2.68,2.68,2.68,
1.0,250706416,0.0,172.34,42.52666666666667,70.98081477883068
0.0,702087350,0.0,334.73,9.4145,52.76691134676089
0.0,355614988,0.0,3.42,1.977142857142857,1.4585576698199068
0.0,359095451,0.0,361.28,18.165777777777777,60.737022575305176
0.0,650854059,0.0,232.19,54.29391304347827,88.97567035886988
0.0,355615320,0.0,0.0,0.0,
0.0,251136893,2.15,306.52,103.83333333333331,175.5321316264727
0.0,10976951,0.0,99.97,14.471647058823532,29.475982630216194
0.0,23216605,0.0,242.44,42.5914606741573,68.95597519350764
0.0,5728492,0.0,0.0,0.0,0.0
0.0,251110313,0.0,0.44,0.22,0.3111269837220809
1.0,353768985,0.0,255.07,20.441643835616436,52.63019048073122
1.0,704278581,0.0,306.24,65.7430303030303,98.51962188711597
1.0,52493497,0.0,272.23,9.60593869731801,36.34640543517016
1.0,52493183,0.0,100.27,12.34657051282051,27.11157726807605
1.0,81783130,0.0,288.1,5.174320987654321,33.34353876458945
1.0,250663675,0.0,228.0,20.892589285714287,43.66126596294995
1.0,250700344,0.0,361.72,34.3875,81.65367664794145
1.0,736420840,0.0,8.09,5.842222222222222,2.334725774998949
1.0,7611788793,0.0,1.08,0.36000000000000004,0.6235382907247958
1.0,295059514,0.0,3.2,0.7600000000000001,0.8992774877644831
1.0,651939693,0.36,125.54,62.10750000000001,70.18976628873092
1.0,250691582,0.0,0.55,0.18333333333333335,0.31754264805429416
0.0,168737311,0.0,383.6,26.36150877192978,79.62928652647587
0.0,170644475,0.0,262.39,21.98721428571425,54.781460591682524
0.0,31616815,0.0,183.49,33.77651851851852,50.085225371115186
0.0,972965170,0.0,301.84,14.57692708333333,38.70564838895371
0.0,651948530,0.0,274.55,37.7827397260274,71.10708056360167
0.0,881725972,0.0,0.0,0.0,0.0
0.0,636505057,0.0,220.09,34.40666666666667,62.46333919876242
0.0,223683296,0.0,396.25,74.4957142857143,126.95528846404765
0.0,98350968,0.0,3.57,1.0999999999999999,1.4334434066261563
0.0,98350932,0.0,3.92,0.8173170731707319,0.9302635346515733
0.0,207891571,0.0,193.84,40.52967741935483,61.72905515146392
0.0,1000830904,1.77,299.25,45.785714285714285,111.77945157871413
0.0,601294006,1.2,2.15,1.6749999999999998,0.41924535378065514
0.0,565176312,0.0,3.04,0.8133333333333334,1.0233645489267253
0.0,1040608909,135.86,135.86,135.86,
0.0,808000024,0.0,1.3,0.6900000000000001,0.6370243323453195
1.0,296181852,0.0,250.35,14.05960809102409,39.397933065659856
1.0,8484977587,0.0,153.26,21.540422535211263,38.95028264840118
1.0,653971685,0.0,265.31,16.980588235294114,64.00659072222447
1.0,9769867771,0.0,0.0,0.0,0.0
1.0,23217726,0.0,4.99,1.4042000000000001,1.3136241968737654
1.0,30481589,0.0,2.71,1.0086956521739128,0.9653416933812798
0.0,97834909,0.0,155.76,40.308888888888895,65.0406496321736
0.0,636742500,0.0,254.07,17.409465648854972,52.7182149854368
0.0,31619827,0.0,283.8,47.99711111111112,86.3466441055055
