time_period,parse_lane_name(vehicle_lane),min(vehicle_NOx),max(vehicle_NOx),avg(vehicle_NOx),stddev(vehicle_NOx)
0.0,251144197,0.0,275.83,104.07000000000001,108.39506046556426
0.0,10741758,0.0,257.9,67.48986111111111,84.94769161812489
0.0,881725969,0.0,3.26,0.7822340425531916,0.8103565579957429
0.0,2966514653,3.89,4.94,4.415,0.7424621202458751
0.0,355613602,0.0,3.26,1.0899999999999999,1.5397402378323428
0.0,68612576,0.0,60.75,2.686341463414634,9.366599104290085
0.0,388172082,0.0,4.56,0.9550000000000001,1.435310651624472
0.0,790318524,0.0,229.23,43.951194029850754,75.12234133897626
0.0,250710162,0.0,137.97,15.711111111111112,45.861114640958206
0.0,250921080,0.0,151.68,25.458333333333332,61.837216760351254
0.0,2300286948,1.45,91.82,43.464999999999996,48.625975568619694
1.0,601290889,0.0,348.89,4.618588727628201,17.733056508099246
1.0,298383050,0.0,391.13,60.54601049868764,100.84020089564268
1.0,419194293,0.0,100.19,56.47145348837209,16.397522373220905
1.0,250700084,0.0,478.69,24.590569105691053,66.28516041058565
1.0,97788213,0.0,208.19,24.305,64.64198107009614
1.0,892605848,0.0,148.57,39.24117647058823,62.78330867778004
1.0,54700033,0.0,7.41,4.087272727272728,1.738637073819282
1.0,1062776770,2.77,2.77,2.77,
0.0,97834824,0.43,234.73,58.41,106.27158994092179
0.0,31767642,0.0,287.04,30.4079861111111,71.11977731158879
0.0,677284299,0.0,181.23,22.89527027027027,51.237617126775746
0.0,650854063,0.0,1.74,0.12428571428571429,0.46503456092761847
0.0,762793106,0.0,410.49,29.636738609112722,70.86497330657514
0.0,2318403662,0.0,182.06,21.20747474747474,42.819112277242404
0.0,97839384,0.0,200.72,50.39125,90.2998083271973
0.0,250708783,0.0,190.99,27.53555555555555,48.8126146036498
0.0,651211705,0.0,1.84,0.6565517241379308,0.557256914903262
0.0,364104825,0.0,145.53,49.22571428571429,62.340103961292535
0.0,359096274,0.0,250.85,122.11333333333334,132.52690348252563
0.0,62326679,0.0,1.32,0.5856666666666667,0.5615292133729681
1.0,10976951,0.0,99.11,3.236275395033863,14.65472195104524
1.0,294492610,0.0,107.63,7.378879194630872,21.218825040125285
1.0,32245113,0.0,357.35,21.869484848484845,65.32802590137894
1.0,702079448,0.0,286.23,35.6433203125,71.9083571209512
1.0,363357735,0.0,283.36,14.08348484848485,44.585389675273134
1.0,651948533,0.0,196.75,38.55491525423729,63.961339464659304
1.0,300401270,0.0,2.04,1.0,1.020588065773846
1.0,767331322,0.0,193.39,39.2,79.61451919509824
1.0,250710950,0.0,138.75,44.10777777777778,56.71012593008886
1.0,91502437,0.0,3.2,0.9561538461538461,1.1673227093191958
1.0,359095451,0.0,348.49,18.148205128205134,51.720450644966526
1.0,51249283,0.0,278.32,174.20666666666665,96.49885711758455
1.0,353767594,0.0,261.85,61.799,105.86950588657088
1.0,8212395770,0.0,0.0,0.0,0.0
1.0,7041322346,0.0,130.92,55.449999999999996,66.08179476981537
0.0,43386416,0.0,180.91,18.161111111111115,47.54625003004119
0.0,42240105,0.0,290.23,16.586526315789467,52.74479961798435
0.0,7384248376,0.0,165.22,22.052326732673272,46.51273906742546
0.0,909651169,0.0,519.08,51.357954545454525,114.6067308577357
0.0,250692401,0.0,480.83,27.862834645669288,82.24091480577954
0.0,355613014,0.0,73.16,6.456153846153845,20.061294216501228
0.0,734712546,0.0,206.85,14.422274999999924,27.653962612885376
0.0,179007040,0.0,3.12,1.033,1.0356753030430597
0.0,250920242,0.0,202.82,28.109523809523814,63.02298670664734
0.0,251136994,0.5,362.89,129.78,175.95235477253496
0.0,359093566,0.0,4.31,1.2046153846153846,1.3227031374210878
0.0,651968875,0.0,4.01,0.8019999999999999,1.7933265179548312
0.0,661080035,0.0,2.0,0.7558888888888894,0.5754898147156458
0.0,250663831,1.95,227.4,160.7475,106.56736285092168
0.0,359093543,0.0,179.73,27.80416666666667,61.85549603835956
0.0,250664458,0.0,2.76,0.8385714285714286,1.003301692271216
0.0,824855256,0.52,0.52,0.52,
0.0,250710205,1.33,145.73,67.04500000000002,60.95907916260663
0.0,622917483,0.0,165.7,42.074999999999996,82.42040099392867
0.0,23217602,0.0,237.36,110.47187500000001,84.06655870883
1.0,52493741,0.0,431.88,49.56759847522237,106.12581875929
1.0,250712162,0.0,162.45,6.712727272727271,27.988288987620255
1.0,653973297,0.0,201.67,31.526190476190475,60.77192941450768
1.0,791288815,0.0,414.66,48.022280701754376,113.38429522484182
1.0,156253936,0.0,5.36,1.3556097560975608,1.3596838764589507
1.0,23183922,0.0,4.08,2.01875,1.5832375284298221
1.0,824855290,0.0,0.0,0.0,
1.0,223649878,0.0,246.85,30.856515151515158,71.60296597837109
1.0,292906733,0.0,3.8,1.8281818181818181,1.264577543544232
1.0,2299482267,0.0,0.0,0.0,0.0
0.0,280005152,0.0,216.62,28.01346534653465,62.95584273815486
0.0,653972809,0.0,177.25,18.275555555555552,47.32080046687078
0.0,661080463,0.0,185.65,3.939330357142866,19.726969082204747
0.0,6217316409,0.0,287.08,43.227500000000006,85.4311729278504
0.0,2251695465,0.0,6.15,1.291666666666667,2.0853507807531755
0.0,254731664,0.0,2.22,1.151818181818182,0.7569652327791309
0.0,5630810693,0.51,3.05,1.305,1.1893275410920239
0.0,31616993,0.0,267.9,32.601,76.57241512417325
0.0,355614383,0.0,0.0,0.0,0.0
0.0,824076878,0.0,315.86,44.026153846153846,107.23555275952572
0.0,281538399,0.0,138.92,19.321666666666665,40.66858063696889
0.0,51249829,0.0,115.25,51.20846153846155,50.04585328245718
0.0,23184181,0.0,130.99,38.06285714285714,47.464003659470656
1.0,167907746,0.0,181.29,12.460205223880564,30.105314967852202
1.0,4458927012,0.0,214.35,29.915,64.5196247542666
1.0,881725981,0.0,5.47,3.7262499999999994,1.7723909396228428
1.0,388172051,0.0,170.61,31.194333333333326,60.187929405254955
1.0,250691272,0.0,265.95,18.568787878787877,60.634619842832755
1.0,52493494,0.0,107.25,11.778536585365854,29.19275379910549
1.0,251144202,0.0,0.71,0.07888888888888888,0.23666666666666664
0.0,52080446,0.0,444.07,43.22134782608695,98.63691079238296
0.0,2251695463,3.05,241.65,69.22153846153846,102.3513082350973
0.0,300401174,0.0,370.53,45.14833333333335,87.37772835022999
0.0,6693647589,0.0,295.12,48.45575342465754,88.07518916808475
0.0,651939721,0.0,0.0,0.0,
0.0,97846073,0.0,266.53,55.728636363636376,75.63669969076543
0.0,7206257345,0.0,1.52,0.37875000000000003,0.701313818079019
0.0,300400470,0.0,248.67,31.664571428571435,56.85409718501111
0.0,824855111,0.0,70.98,15.706818181818182,28.47819757310822
0.0,11270494938,0.0,1.13,0.6966666666666667,0.6092892033618628
0.0,33878525,0.0,398.08,39.828333333333326,97.21544727651438
0.0,58704893,0.0,0.54,0.2144186046511628,0.20070473842582315
1.0,10971766,0.0,355.55,14.94069677916015,29.631495508017174
1.0,8446047162,0.0,260.36,30.374999999999996,54.09457669588494
1.0,6217316409,0.0,286.66,34.13796380090498,67.2409780086691
1.0,250708523,0.0,208.63,49.172413793103445,75.86738851703073
1.0,355614382,1.9,2.77,2.2466666666666666,0.4611218204914331
1.0,97788848,0.0,231.15,35.80034482758621,69.02713112986591
1.0,251136893,0.0,354.59,54.14222222222222,108.87539772632456
1.0,95663389,0.0,151.13,65.26888888888888,75.17809013343657
1.0,7028966386,0.0,0.0,0.0,0.0
1.0,66867991,0.0,83.19,15.82247191011236,29.606900005085535
1.0,444373170,0.0,294.07,24.24479166666666,66.22519736409338
1.0,250708642,0.77,4.08,2.425,2.3405234457274724
0.0,636742499,0.0,181.25,15.126162790697675,41.065725573369626
0.0,359095626,0.0,90.54,5.707441860465117,17.648167191095872
0.0,565056728,0.0,1.89,1.2811111111111113,0.7528851911886109
0.0,359093585,0.0,218.44,32.71576923076923,62.32147258677874
0.0,916426354,0.0,60.75,11.663333333333334,24.103163001288166
0.0,353767898,0.0,440.49,58.17659090909089,132.52016292297213
0.0,300401271,0.74,2.84,1.79,1.4849242404917495
0.0,23216711,0.0,190.3,125.46833333333335,71.41110737600046
0.0,70241716,0.0,4.04,2.0164705882352942,1.114270732230674
0.0,1062776897,0.42,210.99,32.85285714285714,78.56170774499192
0.0,650854043,0.0,1.0,0.5,0.7071067811865476
0.0,64095314,0.0,3.31,1.240689655172414,0.8635306721100744
1.0,359096253,0.0,251.79,32.96489361702128,65.3614172919978
1.0,824076914,0.0,82.24,3.335185185185185,15.782188200229536
1.0,359095613,0.0,168.68,20.21,55.68661396601521
1.0,250692409,0.0,314.58,73.39375000000001,130.2659798738719
1.0,815855464,0.0,277.16,58.623292682926824,85.08870678508238
1.0,353768131,0.0,2.53,0.5663636363636364,0.8870092753435301
1.0,27790281,0.0,299.13,22.51735849056604,69.80081127341361
1.0,865301643,0.0,308.26,64.90333333333334,65.13687154979212
0.0,355614987,0.0,316.35,83.74631578947368,128.328699189513
0.0,224026879,0.0,213.04,88.88333333333334,66.85165104213077
0.0,5630842135,0.0,349.79,38.97194915254239,69.53004606948527
0.0,cluster_1005855035_2251695181_250663594_250664454_,0.0,269.21,35.159852216748774,65.2021720806712
0.0,250663598,0.0,237.78,29.878999999999998,61.77787064867206
0.0,355613483,0.0,3.8,1.6542857142857144,1.6961707573517586
0.0,175509062,0.0,279.73,22.941903052064724,48.674955967706936
0.0,243850913,0.0,264.08,46.03193548387096,85.13678329290087
0.0,250699980,0.46,2.74,1.73,0.8182297965730655
0.0,251144198,0.0,138.57,29.242,61.12792463350935
0.0,86547345,0.0,4.35,1.626938775510204,1.3731232708707557
0.0,305143979,0.0,0.0,0.0,
0.0,23183852,0.0,4.58,1.0618181818181818,1.2443113848674785
1.0,299644700,0.0,450.43,36.57576086956518,80.61432442749519
1.0,820421379,0.0,188.39,37.67944444444444,62.994185956952286
1.0,5954948806,0.0,401.13,78.1036,125.61305376992236
1.0,359095231,0.0,163.92,29.604000000000003,62.099382033067684
1.0,565056713,0.0,5.3,0.744,1.7363512189518442
1.0,23184198,0.0,257.81,16.68005714285714,44.99692430109341
1.0,311319355,0.0,171.09,21.10130434782609,51.33684786020022
1.0,23183967,0.0,4.25,1.493448275862069,1.3134313725670441
