time_period,parse_lane_name(vehicle_lane),min(vehicle_NOx),max(vehicle_NOx),avg(vehicle_NOx),stddev(vehicle_NOx)
0.0,250713287,2.06,2.16,2.1100000000000003,0.07071067811865482
0.0,250714051,0.38,385.39,33.300925925925924,68.04885665152143
0.0,44463540,0.0,209.04,63.79333333333333,68.7235174396317
0.0,66868059,0.0,96.72,22.614084507042254,34.60825634677635
0.0,966013902,0.0,186.91,40.076666666666675,59.80754228595014
0.0,61093639,0.0,208.03,18.683691588785017,43.55174641602396
0.0,23182767,0.0,424.91,24.21576576576576,75.55521211615873
0.0,49864483,0.0,4.6,1.9440000000000002,1.4347800124794483
0.0,525503454,0.0,0.69,0.31833333333333336,0.3499952380628437
0.0,68612565,0.0,1.54,0.37249999999999994,0.5730058588581048
0.0,52493437,0.0,234.68,86.52031249999999,72.1664702987687
0.0,617806824,0.0,0.0,0.0,
1.0,717120664,0.0,290.53,47.150418118466916,77.26580368704506
1.0,52493354,0.0,256.28,9.75011160714284,34.33498185172783
1.0,909208929,0.0,105.27,4.327526315789475,16.21187939267307
1.0,251144773,0.0,8.7,2.294166666666667,2.588226694909552
1.0,251137589,0.0,138.24,10.007777777777777,32.01425299411564
1.0,33878323,0.0,150.55,18.170178571428572,41.61385724146451
1.0,824855242,0.0,75.62,8.380384615384616,22.7611271216114
1.0,803870833,0.0,186.8,39.236111111111114,66.03436040861729
1.0,998311565,0.0,2.86,1.2013333333333334,1.0750406415351843
0.0,250692063,0.0,345.04,61.199607843137244,101.81448981281169
0.0,68612589,0.0,2.18,1.0012500000000002,0.833879701841253
0.0,8446047162,0.0,255.71,34.211011235955056,57.48919237518474
0.0,359095614,0.0,189.26,29.178888888888892,64.43176981203536
0.0,8484977584,0.0,164.35,19.94272727272727,45.7326309824293
0.0,734382122,0.77,272.51,44.62576923076922,89.02328063756755
0.0,790308477,0.0,284.77,29.221652173913043,69.28979794946697
0.0,384593008,0.0,147.83,50.92125,50.25682652635361
0.0,62330706,0.0,3.61,1.1916666666666664,1.101544631284926
0.0,95663501,4.83,5.51,5.17,0.4808326112068521
0.0,234000634,3.08,7.24,4.536666666666666,1.6049532703477694
0.0,242134,0.0,1.36,0.7272727272727273,0.5831138981209573
1.0,23216679,0.0,279.7,13.521831275720144,41.594078500794254
1.0,250710162,0.0,1.41,0.27,0.5301482272507783
1.0,8253823131,0.0,3.03,1.7433333333333334,1.5657692465153776
1.0,250663757,0.0,232.53,18.26923076923077,64.38122066533823
1.0,250920978,0.0,320.84,40.85984126984127,83.10816520756518
1.0,601293993,0.0,1.68,0.5,0.5914220151465448
1.0,633562897,0.0,2.85,1.32,1.533818763739706
0.0,655213200,0.0,201.08,69.3990909090909,79.68126008724327
0.0,651185404,0.0,184.17,23.545799999999996,48.269391750458
0.0,10972563,0.0,166.16,25.977021276595746,48.07084847954128
0.0,300402610,0.89,188.39,30.981777777777783,56.88048216491428
0.0,219615781,0.0,4.92,2.028181818181818,1.4653383103011957
0.0,584037841,0.0,1.13,0.5433333333333333,0.5956732885287593
1.0,23184216,0.0,274.52,30.591555555555573,68.713395336619
1.0,32015189,0.0,267.04,28.353226744186035,63.4475161016592
1.0,101357275,0.0,89.27,11.23,25.72092783822272
1.0,95663492,0.0,201.37,20.56477272727273,48.002592298635356
1.0,44463538,0.0,274.61,21.30698412698413,64.15773746199034
1.0,359094862,0.0,425.83,73.81890625000001,111.62576126571233
1.0,1016179784,0.0,284.75,26.41507462686567,69.27139875864493
1.0,355613012,0.0,148.96,15.617,46.865732340141435
1.0,1118771576,0.0,333.02,68.708,147.7771764177405
1.0,7127124359,0.63,0.63,0.63,
