timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
63.0,100.77,4624.7,0.57,1.95,0.09,244.49,HBEFA3/PC_G_EU4,0.0,1475.08,veh102,168725549#0_2,65.02,24.16,!veh102!var#1,7.16,veh_passenger,0.0,23.727832,37.984329
63.0,0.0,2463.14,0.0,0.56,0.02,192.32,HBEFA3/PC_G_EU4,0.0,785.64,veh37,741087756#1_0,69.71,40.59,!veh37!var#1,22.54,veh_passenger,0.0,23.725141,37.983271
63.0,117.11,7973.63,0.72,3.39,0.16,358.57,HBEFA3/PC_G_EU4,0.0,2543.2,veh50,977757273_2,69.39,14.32,!veh50!var#1,12.8,veh_passenger,0.0,23.728099,37.984607
64.0,114.14,6215.67,0.67,2.66,0.12,233.37,HBEFA3/PC_G_EU4,0.0,1982.51,veh102,168725549#0_2,67.64,33.09,!veh102!var#1,8.93,veh_passenger,0.0,23.727747,37.984285
64.0,53.81,6249.26,0.4,2.33,0.12,192.17,HBEFA3/PC_G_EU4,0.0,1993.21,veh37,741087756#1_0,71.03,63.54,!veh37!var#1,22.95,veh_passenger,0.0,23.725078,37.983071
64.0,99.11,7533.5,0.63,3.15,0.15,8.51,HBEFA3/PC_G_EU4,0.0,2402.81,veh50,977757273_2,68.95,28.52,!veh50!var#1,14.2,veh_passenger,0.0,23.728126,37.984739
65.0,110.28,6808.08,0.66,2.9,0.13,233.43,HBEFA3/PC_G_EU4,0.0,2171.45,veh102,168725549#0_2,68.16,43.71,!veh102!var#1,10.62,veh_passenger,0.0,23.727649,37.984228
65.0,0.0,2739.22,0.0,0.68,0.03,192.17,HBEFA3/PC_G_EU4,0.0,873.69,veh37,741087756#1_0,69.9,86.33,!veh37!var#1,22.78,veh_passenger,0.0,23.725016,37.982872
65.0,155.99,10768.74,0.97,4.63,0.23,8.51,HBEFA3/PC_G_EU4,0.0,3434.69,veh50,977757273_2,72.01,44.66,!veh50!var#1,16.14,veh_passenger,0.0,23.72816,37.984889
66.0,89.14,6310.52,0.56,2.63,0.12,256.47,HBEFA3/PC_G_EU4,0.0,2012.75,veh102,168725549#0_2,67.44,55.66,!veh102!var#1,11.94,veh_passenger,0.0,23.727522,37.984192
66.0,0.0,0.0,0.0,0.0,0.0,223.7,HBEFA3/PC_G_EU4,0.0,0.0,veh37,:cluster_262646289_5630810689_5630810692_7214467399_1_1,65.11,11.59,!veh37!var#1,18.28,veh_passenger,0.0,23.72492,37.98273
66.0,163.85,11455.89,1.03,4.91,0.25,9.83,HBEFA3/PC_G_EU4,0.0,3653.85,veh50,:95663423_0_2,72.56,6.78,!veh50!var#1,17.98,veh_passenger,0.0,23.7282,37.985052
